sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.00025957152247428893,0.0002987782075069845,-0.012978576123714447,0.014938910375349224,-0.0268501415848732,-0.001946904812939465,0.0,0.0,[0.03113501],1,-60,-60,0.050204895,-5.9146647,3.6135135
1,-0.012334445002370558,0.00027491028256918074,-0.6037436739948134,-0.0011933962468901882,-0.05226946622133255,-0.003761284053325653,-5.191430773265893e-06,5.975563908577897e-06,[0.03101952],1,-60,-60,0.05020479,-5.9146647,3.6135135
2,-0.03168375082884268,-5.7595168764237306e-05,-0.9674652913236059,-0.0166252725666709,-0.06604284141212702,-0.005032115266658366,-0.000251880323048681,1.147376860899385e-05,[0.03088699],1,-60,-60,0.050203044,-5.9146647,3.6135135
3,-0.05336711757804551,-0.00019478635344057692,-1.0841683374601416,-0.006859559233816981,-0.07113692350685596,-0.006388811976648867,-0.0008855553460307419,1.0321865374862682e-05,[0.03082312],1,-60,-60,0.050198197,-5.9146647,3.6135135
4,-0.07545151650893786,-0.00032478360199093,-1.1042199465446174,-0.006499862427517655,-0.07625488890334964,-0.007723684539087117,-0.0019528977572917938,6.426138497772627e-06,[0.03080195],1,-60,-60,0.050190058,-5.9146647,3.6135135
5,-0.09718851106229523,-0.0004451140030141687,-1.0868497276678681,-0.006016520051161933,-0.08219183422625065,-0.009203805238939822,-0.003461928106844425,-6.953359843464568e-08,[0.03078098],1,-60,-60,0.05017884,-5.9146647,3.6135135
6,-0.11711733452963928,-0.0005047543260843668,-0.9964411733672023,-0.0029820161535099032,-0.08960803551599383,-0.010767330299131572,-0.0054056984372437,-8.971813258540351e-06,[0.03075569],1,-60,-60,0.05016387,-5.9146647,3.6135135
7,-0.13639846810127892,-0.0005733761771080026,-0.9640566785819829,-0.0034310925511817914,-0.10151271568611264,-0.012295281048864126,-0.007748045027256012,-1.9066897948505357e-05,[0.03072108],1,-60,-60,0.050146263,-5.9146647,3.6135135
8,-0.15666356401506165,-0.000695314647655323,-1.0132547956891358,-0.006096923527366016,-0.11052929935976863,-0.014035413856618106,-0.010476014576852322,-3.0534421966876835e-05,[0.03066656],1,-60,-60,0.050125815,-5.9146647,3.6135135
9,-0.17744511865998902,-0.0008696132185104944,-1.0390777322463691,-0.008714928542758571,-0.11877915216609836,-0.015676506445743144,-0.013609286397695541,-4.444071601028554e-05,[0.03062656],1,-60,-60,0.05010217,-5.9146647,3.6135135
10,-0.19851534305128554,-0.0011009617292256735,-1.0535112195648253,-0.011567425535758957,-0.12302886927500367,-0.017422036500647664,-0.017158187925815582,-6.183297955431044e-05,[0.03059211],1,-60,-60,0.050075673,-5.9146647,3.6135135
11,-0.2195260586681525,-0.001440131294348248,-1.0505357808433473,-0.01695847825612873,-0.12678486248478293,-0.019162245327606797,-0.021128494292497635,-8.385221008211374e-05,[0.03057535],1,-60,-60,0.050045654,-5.9146647,3.6135135
12,-0.24085704038839142,-0.0018273586137911477,-1.0665490860119462,-0.019361365972144995,-0.13220712076872587,-0.020953997154720128,-0.02551901526749134,-0.0001126548377214931,[0.03055994],1,-60,-60,0.050012685,-5.9146647,3.6135135
13,-0.26212132851581377,-0.0021549224106820475,-1.0632144063711166,-0.016378189844544977,-0.14294588565826416,-0.02293206413742155,-0.030336156487464905,-0.00014920200919732451,[0.03053512],1,-60,-60,0.049976394,-5.9146647,3.6135135
14,-0.283635125569881,-0.0024999230274806907,-1.0756898527033627,-0.01725003083993215,-0.1505681020207703,-0.02484780375380069,-0.03557858243584633,-0.0001923004601849243,[0.03048449],1,-60,-60,0.049936716,-5.9146647,3.6135135
15,-0.30487655405874653,-0.0029587750734754083,-1.0620714244432747,-0.02294260229973588,-0.15743955643847585,-0.02656565944198519,-0.0412512868642807,-0.00024229892005678266,[0.03045094],1,-60,-60,0.04989396,-5.9146647,3.6135135
16,-0.3273248166869144,-0.003468141381581518,-1.1224131314083934,-0.025468315405305475,-0.1640306068584323,-0.028444421594031155,-0.04734881967306137,-0.0003014744143001735,[0.03042006],1,-60,-60,0.049848363,-5.9146647,3.6135135
17,-0.3501487788836221,-0.004055800879559684,-1.1411981098353863,-0.029382974898908287,-0.1721004582941532,-0.0301333237439394,-0.053895317018032074,-0.0003708372241817415,[0.03038799],1,-60,-60,0.049799036,-5.9146647,3.6135135
18,-0.37339462083286895,-0.004621884005446191,-1.1622920974623412,-0.028304156294325367,-0.17464097659103572,-0.031498730182647705,-0.06089829280972481,-0.0004519532376434654,[0.03035282],1,-60,-60,0.0497463,-5.9146647,3.6135135
19,-0.3971354677433829,-0.0052379137287607595,-1.1870423455256969,-0.03080148616572842,-0.1771538306493312,-0.03285330603830516,-0.06836618483066559,-0.0005443909321911633,[0.03034212],1,-60,-60,0.04969007,-5.9146647,3.6135135
20,-0.4209175657805736,-0.005925652364803682,-1.1891049018595368,-0.03438693180214614,-0.18096354813314974,-0.03412350174039602,-0.07630889117717743,-0.0006491491803899407,[0.03033142],1,-60,-60,0.049630787,-5.9146647,3.6135135
