sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,0.0003574994020164013,0.0002884638216346502,0.017874970100820065,0.014423191081732512,0.004003574140369892,-0.002462551463395357,0.0,0.0,[0.05112951],1,-60,-60,0.14384232,16.059086,14.388987
1,0.002706678139675205,0.0004768394080383587,0.11745893688294018,0.009418779320185422,0.005166577524505556,-0.0048996154218912125,7.1499880505143665e-06,5.769275958300568e-06,[0.05112624],1,-60,-60,0.14384232,16.059086,14.388987
2,0.005543952151510894,0.0006189081543197972,0.14186370059178444,0.007103437314071925,0.0049087175575550646,-0.007292855065315962,6.128355016699061e-05,1.5306064597098157e-05,[0.05112487],1,-60,-60,0.14384186,16.059086,14.388987
3,0.008250428126211773,0.0006934954097960145,0.13532379873504397,0.0037293627738108626,0.005101577073219232,-0.009595903102308512,0.00017216260312125087,2.7684227461577393e-05,[0.05112418],1,-60,-60,0.14384092,16.059086,14.388987
4,0.010929906661349378,0.000754950109840138,0.13397392675688025,0.003072735002206173,0.00521543926151935,-0.011886585038155317,0.00033717116457410157,4.155413625994697e-05,[0.05112332],1,-60,-60,0.14384,16.059086,14.388987
5,0.01366486669108781,0.0007481424893194345,0.13674800148692157,-0.00034038102603517473,0.005238042487690109,-0.014090408105403185,0.000555769307538867,5.665313801728189e-05,[0.05112252],1,-60,-60,0.14383861,16.059086,14.388987
6,0.01639204610963134,0.0006842530700669159,0.13635897092717641,-0.0031944709626259282,0.005197917727855383,-0.016191428527235985,0.0008290666155517101,7.16159847797826e-05,[0.05112179],1,-60,-60,0.14383627,16.059086,14.388987
7,0.019096117032913754,0.00056668327524676,0.13520354616412078,-0.005878489741007797,0.005228387442912208,-0.018190979957580566,0.0011569075286388397,8.530104241799563e-05,[0.05112113],1,-60,-60,0.14383441,16.059086,14.388987
8,0.02080551062908853,0.000347908559779171,0.08546967980873887,-0.010938735773379449,0.006371367624524282,-0.020128812990151346,0.0015388298779726028,9.663470700616017e-05,[0.05112048],1,-60,-60,0.14383163,16.059086,14.388987
9,0.022383109577949655,8.133681389153945e-05,0.07887994744305615,-0.013328587294381578,0.007717013028013753,-0.021994857699610293,0.0019549401476979256,0.00010359287989558652,[0.05111932],1,-60,-60,0.1438293,16.059086,14.388987
10,0.024536243509883208,-0.0002447500942798796,0.10765669659667765,-0.016304345408570953,0.00892936463424121,-0.023760766605846584,0.0024026022292673588,0.00010521961667109281,[0.05111806],1,-60,-60,0.14382647,16.059086,14.388987
11,0.026763699092716708,-0.0006889229010266717,0.11137277914167498,-0.022208640337339602,0.009634354402805911,-0.02537679555825889,0.002893327036872506,0.00010032461432274431,[0.05111691],1,-60,-60,0.14382322,16.059086,14.388987
12,0.029266701174146877,-0.0011767342424718662,0.1251501040715084,-0.024390567072259728,0.010395218869234668,-0.02692378917708993,0.003428600961342454,8.6546155216638e-05,[0.05111607],1,-60,-60,0.14381945,16.059086,14.388987
13,0.03112829245541434,-0.0015436875172599683,0.09307956406337325,-0.018347663739405107,0.011481187208119081,-0.028571175294928253,0.004013935104012489,6.301147368503734e-05,[0.05111524],1,-60,-60,0.14381574,16.059086,14.388987
14,0.033421240357656645,-0.001960204749193508,0.11464739511211519,-0.020825861596676987,0.012926284358400153,-0.03021416999399662,0.004636500962078571,3.213772288290784e-05,[0.05111419],1,-60,-60,0.14381197,16.059086,14.388987
15,0.03643937274335258,-0.002423778151787701,0.15090661928479676,-0.023178670129709644,0.014073197864490794,-0.03178325667977333,0.005304925609380007,-7.066370017128065e-06,[0.05111286],1,-60,-60,0.1438078,16.059086,14.388987
