sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0013201262056827545,-5.302681471221149e-05,-0.06600631028413773,-0.0026513407356105745,0.03386393189430237,0.0006848914199508727,0.0,0.0,[0.01123693],1,-60,-60,0.02381483,2.0168293,3.259769
1,5.926489720877847e-06,-8.059448693529702e-05,0.06630263477018161,-0.0013783836111542769,0.06420036777853966,0.001260817633010447,-2.6402523872093298e-05,-1.060536305885762e-06,[0.01107539],1,-60,-60,0.023814814,2.0168293,3.259769
2,0.004161409069201909,-8.822125580081774e-05,0.20777412897405156,-0.00038133844327603583,0.09370861016213894,0.0016647411684971303,-2.6283994884579442e-05,-2.6724260351329576e-06,[0.01092555],1,-60,-60,0.023814814,2.0168293,3.259769
3,0.011092362271010642,-5.4993151770759135e-05,0.3465476600904367,0.0016614052015029301,0.122487623244524,0.0022238157398533076,5.694418359780684e-05,-4.436851213540649e-06,[0.01077167],1,-60,-60,0.023814393,2.0168293,3.259769
4,0.0205861830500362,1.2679327455771285e-05,0.47469103895127773,0.0033836239613265207,0.15000265464186668,0.002691332541871816,0.0002787914127111435,-5.5367140703310724e-06,[0.01061595],1,-60,-60,0.023813132,2.0168293,3.259769
5,0.03277558464542381,0.00010874246921048326,0.6094700797693804,0.004803157087735599,0.17661050520837307,0.003211918694432825,0.0006905150366947055,-5.283127393340692e-06,[0.01045908],1,-60,-60,0.023811067,2.0168293,3.259769
6,0.046972423023398734,0.00023054983536894725,0.7098419188987464,0.0060903683079232,0.20101778395473957,0.0037286169244907796,0.0013460267800837755,-3.1082781788427383e-06,[0.01030361],1,-60,-60,0.023806794,2.0168293,3.259769
7,0.06292252079103491,0.000397392371778551,0.797504888381809,0.008342126820480189,0.2236076407134533,0.004138658754527569,0.0022854753769934177,1.5027185327198822e-06,[0.01016256],1,-60,-60,0.023801321,2.0168293,3.259769
8,0.08070931156617007,0.0006594423729620758,0.889339538756758,0.013102500059176236,0.24419288337230682,0.004612473567249253,0.0035439259372651577,9.450566722080112e-06,[0.01003087],1,-60,-60,0.0237937,2.0168293,3.259769
9,0.10002808582488797,0.0009758229098588345,0.9659387129358947,0.015819026844837936,0.2639163248240948,0.0050342712784186006,0.005158111918717623,2.263941496494226e-05,[0.00991226],1,-60,-60,0.023784416,2.0168293,3.259769
10,0.12101487370659016,0.0013151217782069581,1.0493393940851092,0.016964943417406175,0.28307207114994526,0.005487188522238284,0.007158673368394375,4.215587250655517e-05,[0.00979507],1,-60,-60,0.023772601,2.0168293,3.259769
11,0.14315283196498058,0.001672086849321204,1.1068979129195213,0.01784825355571229,0.30150740407407284,0.0059598301304504275,0.009578971192240715,6.845830648671836e-05,[0.00967869],1,-60,-60,0.023757776,2.0168293,3.259769
12,0.16662726344991824,0.0020580868926845146,1.1737215742468834,0.01930000216816552,0.31854492239654064,0.006353231961838901,0.012442028149962425,0.00010190004832111299,[0.00956619],1,-60,-60,0.023740908,2.0168293,3.259769
13,0.19111583291072748,0.002470947916772275,1.2244284730404615,0.02064305120438803,0.3353771213442087,0.0067248743725940585,0.015774574130773544,0.00014306178491096944,[0.00945989],1,-60,-60,0.023721565,2.0168293,3.259769
14,0.21609867120612763,0.0029240184411537485,1.2491419147700071,0.022653526219073683,0.35119914822280407,0.007056270900648087,0.0195968896150589,0.00019248074386268854,[0.00935484],1,-60,-60,0.02369832,2.0168293,3.259769
15,0.2416161753096094,0.003371599900456204,1.2758752051740885,0.02237907296512276,0.36578463576734066,0.007337618677411228,0.023918863385915756,0.00025096110766753554,[0.00925814],1,-60,-60,0.023672616,2.0168293,3.259769
16,0.2674724351101031,0.0038065191626446906,1.2928129900246859,0.021745963109424338,0.3791308794170618,0.007588771259179339,0.028751187026500702,0.00031839311122894287,[0.00916999],1,-60,-60,0.023643987,2.0168293,3.259769
17,0.2937712195747008,0.004268427797396726,1.314939223229885,0.023095431737601757,0.39112044125795364,0.00786086858715862,0.03410063683986664,0.00039452349301427603,[0.00909099],1,-60,-60,0.023612509,2.0168293,3.259769
18,0.320491785970371,0.004719739127940557,1.3360283197835088,0.02256556652719155,0.40470359940081835,0.008155513292877004,0.03997606039047241,0.00047989204176701605,[0.00901969],1,-60,-60,0.023577638,2.0168293,3.259769
19,0.3478229128428211,0.005194997128601245,1.3665563436225057,0.023762900033034384,0.4187923753634095,0.008624769165180624,0.04638589546084404,0.0005742867942899466,[0.00893605],1,-60,-60,0.023539944,2.0168293,3.259769
20,0.37569969891090294,0.005726800496959186,1.3938393034040928,0.026590168417897075,0.4316468983888626,0.009049005224369466,0.05334235355257988,0.000678186712320894,[0.00884884],1,-60,-60,0.023498934,2.0168293,3.259769
21,0.403014265862148,0.006230797093048751,1.3657283475622535,0.025199829804478213,0.4439677922055125,0.00939796373131685,0.06085634604096413,0.0007927226833999157,[0.00876942],1,-60,-60,0.02345463,2.0168293,3.259769
22,0.42967135847065946,0.0067129942443352785,1.3328546304255724,0.024109857564326376,0.45529832132160664,0.009740568057168275,0.06891663372516632,0.0009173386497423053,[0.00869672],1,-60,-60,0.023407046,2.0168293,3.259769
23,0.45714536427040003,0.007219156495448261,1.3737002899870276,0.02530811255564913,0.4670045664533973,0.010113854252267629,0.0775100588798523,0.00105159857776016,[0.00863017],1,-60,-60,0.023356706,2.0168293,3.259769
24,0.48443255344856884,0.007738327486476921,1.3643594589084387,0.025958549551432952,0.47786437533795834,0.010319001943571493,0.0866529643535614,0.0011959817493334413,[0.00856092],1,-60,-60,0.023302654,2.0168293,3.259769
25,0.5114963913008979,0.00825413076385303,1.3531918926164508,0.025790163868805394,0.48928027134388685,0.010570493148406968,0.09634161740541458,0.0013507483527064323,[0.00849866],1,-60,-60,0.02324637,2.0168293,3.259769
26,0.538321265247505,0.008800617348788366,1.3412436973303556,0.027324329246766865,0.5000336822122335,0.010854376712813973,0.10657154768705368,0.0015158309834077954,[0.00843369],1,-60,-60,0.02318637,2.0168293,3.259769
27,0.5651910952710023,0.009342648450437993,1.3434915011748672,0.027101555082481354,0.5113692646846175,0.011098612274508923,0.11733797192573547,0.0016918433830142021,[0.0083713],1,-60,-60,0.02312367,2.0168293,3.259769
28,0.5924294819355419,0.009912816249161552,1.3619193332269788,0.02850838993617799,0.5230646776035428,0.011329557266435586,0.12864179909229279,0.001878696377389133,[0.00830499],1,-60,-60,0.023058344,2.0168293,3.259769
29,0.619825285156112,0.010459403742315772,1.3697901610285044,0.027329374657711014,0.5348482672125101,0.011561920488020405,0.14049038290977478,0.0020769527181982994,[0.00823622],1,-60,-60,0.022989394,2.0168293,3.259769
30,0.6463149850674382,0.010969236620912853,1.3244849955663085,0.025491643929854035,0.5460617607459426,0.011747566284611821,0.15288688242435455,0.0022861408069729805,[0.0081684],1,-60,-60,0.022917893,2.0168293,3.259769
