sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,1,1,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,-0.0019088650401681661,-0.0001013266877271235,-0.09544325200840831,-0.005066334386356175,0.004427057225257158,-0.0017300929175689816,0.0,0.0,[0.04626973],1,-60,-60,0.15167403,-15.242208,-12.588761
1,-0.003503811553819105,-0.00023686399033067573,-0.07974732568254694,-0.006776865130177612,0.008527450729161501,-0.0034152111038565636,-3.8177298847585917e-05,-2.0265338207536843e-06,[0.04626761],1,-60,-60,0.1516735,-15.242208,-12.588761
2,-0.00474546785640996,-0.0004038597422004386,-0.06208281512954272,-0.008349787593488145,0.01205894397571683,-0.005047512240707874,-0.00010825353092513978,-6.763813416910125e-06,[0.04626573],1,-60,-60,0.15167342,-15.242208,-12.588761
3,-0.0056912233278853825,-0.0006007626308382896,-0.04728777357377112,-0.00984514443189255,0.015466447221115232,-0.006668983493000269,-0.00020316289737820625,-1.4841007214272395e-05,[0.0462641],1,-60,-60,0.15167241,-15.242208,-12.588761
4,-0.006394532271660865,-0.000824938047935575,-0.035165447188774124,-0.01120877085486427,0.018210573121905327,-0.00825093756429851,-0.0003169873671140522,-2.6856258045881987e-05,[0.04626252],1,-60,-60,0.15167175,-15.242208,-12.588761
5,-0.006848875510040672,-0.0010792002662310552,-0.022717161918990314,-0.012713110914774006,0.02096660900861025,-0.009729344164952636,-0.00044487800914794207,-4.335501944296993e-05,[0.04626124],1,-60,-60,0.15167066,-15.242208,-12.588761
6,-0.007062267516739668,-0.001364466475624795,-0.010669600334949791,-0.014263310469686985,0.023537715198472142,-0.01121383416466415,-0.0005818555364385247,-6.493902765214443e-05,[0.04625991],1,-60,-60,0.1516696,-15.242208,-12.588761
7,-0.00706780106527731,-0.0016762530579399028,-0.0002766774268820882,-0.01558932911575539,0.02588453353382647,-0.012664194800890982,-0.0007231008494272828,-9.222835797118023e-05,[0.0462586],1,-60,-60,0.1516681,-15.242208,-12.588761
8,-0.006858948203735055,-0.00201865891167472,0.010442643077112734,-0.017120292686740868,0.027817233582027256,-0.014094081241637468,-0.0008644568733870983,-0.00012575341679621488,[0.04625743],1,-60,-60,0.151667,-15.242208,-12.588761
9,-0.006508614979684355,-0.0023894407792067794,0.017516661202535033,-0.018539093376602978,0.029706257861107588,-0.015488012693822384,-0.0010016357991844416,-0.00016612658509984612,[0.04625644],1,-60,-60,0.15166594,-15.242208,-12.588761
10,-0.006048217089846732,-0.0027894019428458703,0.023019894491881132,-0.019998058181954548,0.03152160416357219,-0.01685419341083616,-0.001131808152422309,-0.0002139153948519379,[0.04625546],1,-60,-60,0.1516649,-15.242208,-12.588761
11,-0.0053989345068112034,-0.0032131405715881555,0.03246412915177643,-0.021186931437114254,0.033217718824744225,-0.0182120306417346,-0.001252772519364953,-0.00026970342150889337,[0.04625445],1,-60,-60,0.15166384,-15.242208,-12.588761
12,-0.004594104010611774,-0.003661155743156996,0.04024152480997145,-0.022400758578442037,0.03499333164654672,-0.01953661732841283,-0.0013607512228190899,-0.0003339662216603756,[0.04625345],1,-60,-60,0.15166286,-15.242208,-12.588761
13,-0.0036321632773615438,-0.0041369670803942426,0.04809703666251153,-0.023790566861862317,0.03625778830610216,-0.020789215923286974,-0.0014526332961395383,-0.00040718933450989425,[0.04625246],1,-60,-60,0.15166196,-15.242208,-12.588761
14,-0.002568834451958539,-0.004636380864521925,0.053166441270150244,-0.024970689206384122,0.03737982863094658,-0.022017715265974402,-0.0015252765733748674,-0.000489928643219173,[0.04625171],1,-60,-60,0.15166107,-15.242208,-12.588761
15,-0.0014243561169132609,-0.005162017288366769,0.057223916752263904,-0.026281821192242205,0.0382736234460026,-0.023176210932433605,-0.001576653216034174,-0.0005826562410220504,[0.04625103],1,-60,-60,0.15166062,-15.242208,-12.588761
16,-0.00017735021072440033,-0.005708521826873039,0.06235029530944303,-0.027325226925313473,0.038908374903257936,-0.02432441769633442,-0.0016051403945311904,-0.0006858966080471873,[0.04625047],1,-60,-60,0.15166025,-15.242208,-12.588761
17,0.0011406140902545285,-0.006275502059124847,0.06589821504894644,-0.028349011612590402,0.03942396177444607,-0.02545566053595394,-0.0016086874529719353,-0.0008000670350156724,[0.04625],1,-60,-60,0.15165997,-15.242208,-12.588761
18,0.002496425610734148,-0.006862575170798664,0.06779057602398098,-0.029353655583690852,0.03992210724391043,-0.02656860020942986,-0.0015858751721680164,-0.0009255770710296929,[0.04624957],1,-60,-60,0.15165967,-15.242208,-12.588761
19,0.003894312573829664,-0.007470549013214623,0.0698943481547758,-0.030398692120797932,0.04019089671783149,-0.027657561120577157,-0.0015359466196969151,-0.0010628285817801952,[0.04624915],1,-60,-60,0.15165995,-15.242208,-12.588761
20,0.005325121543137355,-0.008098588419361476,0.07154044846538454,-0.03140197030734271,0.040230508195236325,-0.028705090400762856,-0.0014580603456124663,-0.0012122394982725382,[0.04624881],1,-60,-60,0.15166026,-15.242208,-12.588761
21,0.006749555751739534,-0.008745242835702811,0.07122171043010894,-0.03233272081706673,0.040344466469832696,-0.029728962806984782,-0.0013515579048544168,-0.001374211278744042,[0.04624854],1,-60,-60,0.15166104,-15.242208,-12.588761
22,0.008186096372592145,-0.009413771637464378,0.07182703104263055,-0.03342644008807838,0.040384595002251444,-0.03078727563843131,-0.0012165667722001672,-0.0015491161029785872,[0.04624824],1,-60,-60,0.15166195,-15.242208,-12.588761
23,0.009549328012799377,-0.010103079077071014,0.0681615820103616,-0.03446537198033184,0.04049757671964471,-0.03182345849927515,-0.0010528448037803173,-0.0017373915761709213,[0.04624796],1,-60,-60,0.15166242,-15.242208,-12.588761
24,0.010923243746874504,-0.010809630841231408,0.06869578670375631,-0.03532758820801973,0.04066460585818277,-0.032841410022228956,-0.0008618582505732775,-0.0019394531846046448,[0.04624766],1,-60,-60,0.15166391,-15.242208,-12.588761
25,0.012305713475361699,-0.011532732358882638,0.06912348642435973,-0.036155075882561505,0.04081179203421925,-0.033842479926534,-0.0006433933740481734,-0.002155645750463009,[0.04624736],1,-60,-60,0.15166545,-15.242208,-12.588761
26,0.013695373716400354,-0.012271753601944508,0.06948301205193275,-0.03695106215309352,0.04095314714140841,-0.034826495102606714,-0.0003972791018895805,-0.0023863003589212894,[0.04624707],1,-60,-60,0.15166701,-15.242208,-12.588761
27,0.015090271554945502,-0.01302596910854845,0.06974489192725741,-0.037710775330197066,0.04108491557781235,-0.035794934432487935,-0.00012337163207121193,-0.002631735522300005,[0.04624678],1,-60,-60,0.15166862,-15.242208,-12.588761
28,0.016487746133134352,-0.01379471499703868,0.06987372890944243,-0.03843729442451149,0.041213401567802066,-0.036747742095030844,0.00017843380919657648,-0.00289225485175848,[0.04624649],1,-60,-60,0.15167035,-15.242208,-12.588761
29,0.017893502278748204,-0.014577570930105139,0.0702878072806925,-0.039142796653322875,0.041368050402525114,-0.03768587263766676,0.0005081887356936932,-0.0031681491527706385,[0.04624622],1,-60,-60,0.15167253,-15.242208,-12.588761
30,0.019307817052977044,-0.015373742275387485,0.0707157387114421,-0.0398085672641173,0.04156707578295027,-0.03861988976132125,0.0008660587482154369,-0.0034597006160765886,[0.04624593],1,-60,-60,0.15167487,-15.242208,-12.588761
31,0.020788589590520132,-0.016183215455366735,0.07403862687715446,-0.04047365899896249,0.042255366239260184,-0.039577054034452885,0.0012522151228040457,-0.003767175367102027,[0.04624564],1,-60,-60,0.1516772,-15.242208,-12.588761
32,0.022144123700636557,-0.01701273161683275,0.06777670550582116,-0.04147580807330087,0.04301559798841481,-0.040512680367100984,0.0016679868567734957,-0.00409083953127265,[0.04624516],1,-60,-60,0.15168014,-15.242208,-12.588761
