sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,-1.849652107921429e-07,-2.2514443116961048e-07,-9.248260539607145e-06,-1.1257221558480524e-05,-9.248260539607145e-06,-1.1257221558480524e-05,0.0,0.0,[],0.01,-60,-60,0.0
1,-5.485254951054231e-07,-6.708463661198039e-07,-1.8178014215664007e-05,-2.228509674750967e-05,-1.8178014215664007e-05,-2.228509674750967e-05,0.0,0.0,[],0.01,-60,-60,0.0
2,-1.0845203178178055e-06,-1.3326147563930135e-06,-2.6799741135619115e-05,-3.308841951366048e-05,-2.6799741135619115e-05,-3.308841951366048e-05,0.0,0.0,[],0.01,-60,-60,0.0
3,-1.786938464647392e-06,-2.2060509218135846e-06,-3.5120907341479324e-05,-4.367180827102857e-05,-3.5120907341479324e-05,-4.367180827102857e-05,0.0,0.0,[],0.01,-60,-60,0.0
4,-2.6500517014937942e-06,-3.2868436392163856e-06,-4.3155661842320114e-05,-5.4039635870140046e-05,-4.3155661842320114e-05,-5.4039635870140046e-05,0.0,0.0,[],0.01,-60,-60,0.0
5,-3.6683305006590672e-06,-4.570773489831481e-06,-5.0913939958263654e-05,-6.419649253075477e-05,-5.0913939958263654e-05,-6.419649253075477e-05,0.0,0.0,[],0.01,-60,-60,0.0
6,-4.836359830733272e-06,-6.053709021216491e-06,-5.840146650371025e-05,-7.41467765692505e-05,-5.840146650371025e-05,-7.41467765692505e-05,0.0,0.0,[],0.01,-60,-60,0.0
7,-6.1490339885494906e-06,-7.731599289400038e-06,-6.563370789081091e-05,-8.389451340917731e-05,-6.563370789081091e-05,-8.389451340917731e-05,0.0,0.0,[],0.01,-60,-60,0.0
8,-7.601288243677118e-06,-9.600474786566338e-06,-7.261271275638137e-05,-9.344377485831501e-05,-7.261271275638137e-05,-9.344377485831501e-05,0.0,0.0,[],0.01,-60,-60,0.0
9,-9.188337662635605e-06,-1.1656448878056835e-05,-7.93524709479243e-05,-0.00010279870457452489,-7.93524709479243e-05,-0.00010279870457452489,0.0,0.0,[],0.01,-60,-60,0.0
10,-1.0905529106821634e-05,-1.3895712327212096e-05,-8.58595722093014e-05,-0.000111963172457763,-8.58595722093014e-05,-0.000111963172457763,0.0,0.0,[],0.01,-60,-60,0.0
11,-1.2740732654492606e-05,-1.631441913559684e-05,-9.176017738354858e-05,-0.00012093534041923704,-9.176017738354858e-05,-0.00012093534041923704,0.0,0.0,[],0.01,-60,-60,0.0
12,-1.4689911586174279e-05,-1.8908919446403165e-05,-9.74589465840836e-05,-0.00012972501554031624,-9.74589465840836e-05,-0.00012972501554031624,0.0,0.0,[],0.01,-60,-60,0.0
13,-1.674911829468329e-05,-2.1675641710317e-05,-0.00010296033542545047,-0.00013833611319569172,-0.00010296033542545047,-0.00013833611319569172,0.0,0.0,[],0.01,-60,-60,0.0
14,-1.8914448464784076e-05,-2.461108195348061e-05,-0.00010826650850503938,-0.0001467720121581806,-0.00010826650850503938,-0.0001467720121581806,0.0,0.0,[],0.01,-60,-60,0.0
15,-2.1182333694014235e-05,-2.7711808379535802e-05,-0.000113394261461508,-0.00015503632130275946,-0.000113394261461508,-0.00015503632130275946,0.0,0.0,[],0.01,-60,-60,0.0
16,-2.354918576202181e-05,-3.097446044193931e-05,-0.00011834260340037872,-0.0001631326031201752,-0.00011834260340037872,-0.0001631326031201752,0.0,0.0,[],0.01,-60,-60,0.0
17,-2.6011530335381396e-05,-3.439574478761643e-05,-0.00012311722866797936,-0.00017106421728385612,-0.00012311722866797936,-0.00017106421728385612,0.0,0.0,[],0.01,-60,-60,0.0
18,-2.8566092523760745e-05,-3.797243885856006e-05,-0.0001277281094189675,-0.00017883470354718156,-0.0001277281094189675,-0.00017883470354718156,0.0,0.0,[],0.01,-60,-60,0.0
19,-3.120972522992815e-05,-4.1701387917783005e-05,-0.00013218163530837046,-0.00018644745296114706,-0.00013218163530837046,-0.00018644745296114706,0.0,0.0,[],0.01,-60,-60,0.0
20,-3.393935550775495e-05,-4.5579493407785785e-05,-0.00013648151389134,-0.00019390527450013906,-0.00013648151389134,-0.00019390527450013906,0.0,0.0,[],0.01,-60,-60,0.0
21,-3.6751994857695534e-05,-4.960372329151142e-05,-0.0001406319674970291,-0.00020121149418628193,-0.0001406319674970291,-0.00020121149418628193,0.0,0.0,[],0.01,-60,-60,0.0
22,-3.9644731432417755e-05,-5.377110986046319e-05,-0.00014463682873611106,-0.0002083693284475885,-0.00014463682873611106,-0.0002083693284475885,0.0,0.0,[],0.01,-60,-60,0.0
23,-4.261483347363537e-05,-5.8078740175915305e-05,-0.00014850510206088074,-0.00021538151577260578,-0.00014850510206088074,-0.00021538151577260578,0.0,0.0,[],0.01,-60,-60,0.0
24,-4.565525935959158e-05,-6.252312217839063e-05,-0.00015202129429781053,-0.0002222191001237661,-0.00015202129429781053,-0.0002222191001237661,0.0,0.0,[],0.01,-60,-60,0.0
25,-4.875939136582019e-05,-6.71012876136956e-05,-0.00015520660031143052,-0.00022890827176524908,-0.00015520660031143052,-0.00022890827176524908,0.0,0.0,[],0.01,-60,-60,0.0
26,-5.192506040657463e-05,-7.181052316809655e-05,-0.00015828345203772187,-0.0002354617777200474,-0.00015828345203772187,-0.0002354617777200474,0.0,0.0,[],0.01,-60,-60,0.0
27,-5.515018694040918e-05,-7.664816825126763e-05,-0.00016125632669172774,-0.00024188225415855413,-0.00016125632669172774,-0.00024188225415855413,0.0,0.0,[],0.01,-60,-60,0.0
28,-5.843265881139814e-05,-8.1611613086352e-05,-0.00016412359354944783,-0.0002481722417542187,-0.00016412359354944783,-0.0002481722417542187,0.0,0.0,[],0.01,-60,-60,0.0
29,-6.17705113518241e-05,-8.669830023791292e-05,-0.0001668926270212978,-0.00025433435757804546,-0.0001668926270212978,-0.00025433435757804546,0.0,0.0,[],0.01,-60,-60,0.0
30,-6.516181227198104e-05,-9.190572637635342e-05,-0.00016956504600784683,-0.0002603713069220248,-0.00016956504600784683,-0.0002603713069220248,0.0,0.0,[],0.01,-60,-60,0.0
31,-6.860473234610254e-05,-9.723144328745548e-05,-0.00017214600370607513,-0.00026628584555510315,-0.00017214600370607513,-0.00026628584555510315,0.0,0.0,[],0.01,-60,-60,0.0
32,-7.209744352621784e-05,-0.00010267304890476226,-0.00017463555900576466,-0.00027208028086533886,-0.00017463555900576466,-0.00027208028086533886,0.0,0.0,[],0.01,-60,-60,0.0
33,-7.563814132026892e-05,-0.00010822819022905607,-0.0001770348897025542,-0.00027775706621469,-0.0001770348897025542,-0.00027775706621469,0.0,0.0,[],0.01,-60,-60,0.0
34,-7.922523270735838e-05,-0.00011389455812604866,-0.00017935456935447291,-0.00028331839484962984,-0.00017935456935447291,-0.00028331839484962984,0.0,0.0,[],0.01,-60,-60,0.0
35,-8.2857138449981e-05,-0.00011966989367465432,-0.00018159528713113104,-0.00028876677743028267,-0.00018159528713113104,-0.00028876677743028267,0.0,0.0,[],0.01,-60,-60,0.0
36,-8.653229584069777e-05,-0.0001255519853657461,-0.00018375786953583884,-0.00029410458455458866,-0.00018375786953583884,-0.00029410458455458866,0.0,0.0,[],0.01,-60,-60,0.0
37,-9.024919841067458e-05,-0.0001315386670830776,-0.0001858451284988405,-0.00029933408586657606,-0.0001858451284988405,-0.00029933408586657606,0.0,0.0,[],0.01,-60,-60,0.0
38,-9.40064153246567e-05,-0.00013762781790319423,-0.000187860845699106,-0.00030445754100583144,-0.000187860845699106,-0.00030445754100583144,0.0,0.0,[],0.01,-60,-60,0.0
39,-9.780254057204729e-05,-0.00014381735263668816,-0.00018980626236952958,-0.00030947673667469644,-0.00018980626236952958,-0.00030947673667469644,0.0,0.0,[],0.01,-60,-60,0.0
40,-0.00010163618657543338,-0.00015010523703494981,-0.00019168230016930465,-0.00031439421991308336,-0.00019168230016930465,-0.00031439421991308336,0.0,0.0,[],0.01,-60,-60,0.0
41,-0.00010550604485842996,-0.00015648947642148413,-0.00019349291414982872,-0.0003192119693267159,-0.00019349291414982872,-0.0003192119693267159,0.0,0.0,[],0.01,-60,-60,0.0
42,-0.00010941080980956031,-0.00016296811657412035,-0.0001952382475565173,-0.00032393200763181085,-0.0001952382475565173,-0.00032393200763181085,0.0,0.0,[],0.01,-60,-60,0.0
43,-0.00011334932651834607,-0.00016953923967776062,-0.00019692583543928777,-0.00032855615518201375,-0.00019692583543928777,-0.00032855615518201375,0.0,0.0,[],0.01,-60,-60,0.0
44,-0.00011732038631180331,-0.00017620096710743382,-0.00019855298967286217,-0.0003330863714836596,-0.00019855298967286217,-0.0003330863714836596,0.0,0.0,[],0.01,-60,-60,0.0
45,-0.00012132293044487597,-0.00018295146526725147,-0.00020012720665363304,-0.00033752490799088264,-0.00020012720665363304,-0.00033752490799088264,0.0,0.0,[],0.01,-60,-60,0.0
46,-0.0001253558070266081,-0.00018978893023813726,-0.00020164382908660627,-0.0003418732485442888,-0.00020164382908660627,-0.0003418732485442888,0.0,0.0,[],0.01,-60,-60,0.0
47,-0.00012941798161591577,-0.00019671159732752132,-0.00020310872946538439,-0.00034613335446920246,-0.00020310872946538439,-0.00034613335446920246,0.0,0.0,[],0.01,-60,-60,0.0
48,-0.0001335084449920032,-0.00020371773667648087,-0.00020452316880437138,-0.0003503069674479775,-0.00020452316880437138,-0.0003503069674479775,0.0,0.0,[],0.01,-60,-60,0.0
49,-0.00013762630023393283,-0.0002108056542965642,-0.00020589276209648233,-0.00035439588100416586,-0.00020589276209648233,-0.00035439588100416586,0.0,0.0,[],0.01,0.9833334,-60,0.0
50,-0.00014177052969898795,-0.00021797368989609825,-0.00020721147325275524,-0.00035840177997670253,-0.00020721147325275524,-0.00035840177997670253,0.0,0.0,[],0.01,0.9833334,-60,0.0
51,-0.00014594020635286142,-0.00022522021589793442,-0.00020848383269367332,-0.00036232630009180866,-0.00020848383269367332,-0.00036232630009180866,0.0,0.0,[],0.01,0.9833334,-60,0.0
52,-0.0001501343906670627,-0.0002325436400042236,-0.0002097092157100633,-0.00036617120531445835,-0.0002097092157100633,-0.00036617120531445835,0.0,0.0,[],0.01,0.9833334,-60,0.0
53,-0.00015435223783015318,-0.000239942405301008,-0.00021089235815452412,-0.0003699382648392202,-0.00021089235815452412,-0.0003699382648392202,0.0,0.0,[],0.01,0.9833334,-60,0.0
54,-0.00015859288924957582,-0.0002474149849649621,-0.00021203257097113237,-0.00037362898319770466,-0.00021203257097113237,-0.00037362898319770466,0.0,0.0,[],0.01,0.9833334,-60,0.0
55,-0.00016285563543988246,-0.0002549598830592004,-0.00021313730951533216,-0.0003772449047119153,-0.00021313730951533216,-0.0003772449047119153,0.0,0.0,[],0.01,0.9833334,-60,0.0
56,-0.00016713971982198927,-0.0002625756302586524,-0.0002142042191053406,-0.0003807873599726008,-0.0002142042191053406,-0.0003807873599726008,0.0,0.0,[],0.01,0.9833334,-60,0.0
57,-0.00017144442588687525,-0.00027026079004372156,-0.00021523530324429885,-0.0003842579892534559,-0.00021523530324429885,-0.0003842579892534559,0.0,0.0,[],0.01,0.9833334,-60,0.0
58,-0.00017576894680814803,-0.00027801395039205094,-0.00021622604606363893,-0.0003876580174164701,-0.00021622604606363893,-0.0003876580174164701,0.0,0.0,[],0.01,0.9833334,-60,0.0
59,-0.00018011259989634707,-0.00028583373469246,-0.0002171826544099531,-0.00039098921502045414,-0.0002171826544099531,-0.00039098921502045414,0.0,0.0,[],0.01,0.9833334,-60,0.0
60,-0.00018447465872213796,-0.00029371879214068036,-0.0002181029412895441,-0.00039425287241101614,-0.0002181029412895441,-0.00039425287241101614,0.0,0.0,[],0.01,0.9833334,-60,0.0
61,-0.0001888544788357649,-0.00030166779899900583,-0.000218991005681346,-0.00039745034291627235,-0.000218991005681346,-0.00039745034291627235,0.0,0.0,[],0.01,0.9833334,-60,0.0
62,-0.0001932515181420058,-0.0003096794597422559,-0.00021985196531204565,-0.0004005830371625052,-0.00021985196531204565,-0.0004005830371625052,0.0,0.0,[],0.01,0.9833334,-60,0.0
63,-0.00019766516216122908,-0.00031775250487953605,-0.0002206822009611642,-0.00040365225686400663,-0.0002206822009611642,-0.00040365225686400663,0.0,0.0,[],0.01,0.9833334,-60,0.0
64,-0.0002020948447102455,-0.00032588568674782445,-0.0002214841274508217,-0.00040665909341441875,-0.0002214841274508217,-0.00040665909341441875,0.0,0.0,[],0.01,0.9833334,-60,0.0
65,-0.00020653999712521909,-0.0003340777866196732,-0.00022225762074867816,-0.0004096049935924384,-0.00022225762074867816,-0.0004096049935924384,0.0,0.0,[],0.01,0.9833334,-60,0.0
