sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,-1.8496773918741382e-07,-2.2514303054776974e-07,-9.248386959370691e-06,-1.1257151527388487e-05,-9.248386959370691e-06,-1.1257151527388487e-05,0.0,0.0,[],0.01,-60,-60,0.0
1,-5.485413566930219e-07,-6.708437831548509e-07,-1.8178680875280406e-05,-2.2285037630354054e-05,-1.8178680875280406e-05,-2.2285037630354054e-05,0.0,0.0,[],0.01,-60,-60,0.0
2,-1.0845443830476144e-06,-1.3326115367817691e-06,-2.6800151317729615e-05,-3.308838768134592e-05,-2.6800151317729615e-05,-3.308838768134592e-05,0.0,0.0,[],0.01,-60,-60,0.0
3,-1.7869827752292625e-06,-2.2060462288209237e-06,-3.51219196090824e-05,-4.3671734601957723e-05,-3.51219196090824e-05,-4.3671734601957723e-05,0.0,0.0,[],0.01,-60,-60,0.0
4,-2.6501156935410113e-06,-3.286838509666268e-06,-4.315664591558743e-05,-5.40396140422672e-05,-4.315664591558743e-05,-5.40396140422672e-05,0.0,0.0,[],0.01,-60,-60,0.0
5,-3.6684113911178433e-06,-4.570767468976556e-06,-5.09147848788416e-05,-6.419644796551438e-05,-5.09147848788416e-05,-6.419644796551438e-05,0.0,0.0,[],0.01,-60,-60,0.0
6,-4.836459811485839e-06,-6.053702290955699e-06,-5.8402421018399764e-05,-7.414674109895714e-05,-5.8402421018399764e-05,-7.414674109895714e-05,0.0,0.0,[],0.01,-60,-60,0.0
7,-6.1491495398513515e-06,-7.731590321782279e-06,-6.563448641827563e-05,-8.389440154132899e-05,-6.563448641827563e-05,-8.389440154132899e-05,0.0,0.0,[],0.01,-60,-60,0.0
8,-7.601407278343687e-06,-9.60046370892087e-06,-7.261288692461676e-05,-9.34436693569296e-05,-7.261288692461676e-05,-9.34436693569296e-05,0.0,0.0,[],0.01,-60,-60,0.0
9,-9.188460626319284e-06,-1.1656436709017727e-05,-7.935266739877989e-05,-0.00010279865000484278,-7.935266739877989e-05,-0.00010279865000484278,0.0,0.0,[],0.01,-60,-60,0.0
10,-1.0905648650805233e-05,-1.3895700722059702e-05,-8.585940122429747e-05,-0.00011196320065209875,-8.585940122429747e-05,-0.00011196320065209875,0.0,0.0,[],0.01,-60,-60,0.0
11,-1.2740861020574812e-05,-1.63144076577737e-05,-9.176061848847894e-05,-0.00012093534678569995,-9.176061848847894e-05,-0.00012093534678569995,0.0,0.0,[],0.01,-60,-60,0.0
12,-1.4690039179185988e-05,-1.8908907368313524e-05,-9.745890793055878e-05,-0.00012972498552699108,-9.745890793055878e-05,-0.00012972498552699108,0.0,0.0,[],0.01,-60,-60,0.0
13,-1.674924204053241e-05,-2.1675629723176827e-05,-0.00010296014306732104,-0.00013833611774316523,-0.00010296014306732104,-0.00013833611774316523,0.0,0.0,[],0.01,-60,-60,0.0
14,-1.8914568954642167e-05,-2.4611071294202704e-05,-0.00010826634570548777,-0.00014677207855129382,-0.00010826634570548777,-0.00014677207855129382,0.0,0.0,[],0.01,-60,-60,0.0
15,-2.1182456694077705e-05,-2.771179941191804e-05,-0.00011339438697177684,-0.00015503640588576673,-0.00011339438697177684,-0.00015503640588576673,0.0,0.0,[],0.01,-60,-60,0.0
16,-2.354930815272383e-05,-3.097445242019603e-05,-0.00011834257293230621,-0.00016313265041389968,-0.00011834257293230621,-0.00016313265041389968,0.0,0.0,[],0.01,-60,-60,0.0
17,-2.6011651289081787e-05,-3.439573598370771e-05,-0.00012311715681789792,-0.00017106417817558395,-0.00012311715681789792,-0.00017106417817558395,0.0,0.0,[],0.01,-60,-60,0.0
18,-2.8566216760737012e-05,-3.7972427708155014e-05,-0.00012772827358276118,-0.00017883458622236503,-0.00012772827358276118,-0.00017883458622236503,0.0,0.0,[],0.01,-60,-60,0.0
19,-3.120984514680459e-05,-4.170137425717258e-05,-0.0001321814193033788,-0.00018644732745087822,-0.0001321814193033788,-0.00018644732745087822,0.0,0.0,[],0.01,-60,-60,0.0
20,-3.393944836716401e-05,-4.5579476172861183e-05,-0.0001364801610179711,-0.00019390509578443016,-0.0001364801610179711,-0.00019390509578443016,0.0,0.0,[],0.01,-60,-60,0.0
21,-3.6752059404534524e-05,-4.960370194567077e-05,-0.0001406305518685258,-0.00020121128864047932,-0.0001406305518685258,-0.00020121128864047932,0.0,0.0,[],0.01,-60,-60,0.0
22,-3.9644777480134515e-05,-5.377108313950885e-05,-0.00014463590377999935,-0.0002083690596919041,-0.00014463590377999935,-0.0002083690596919041,0.0,0.0,[],0.01,-60,-60,0.0
23,-4.261485441929836e-05,-5.8078708498214844e-05,-0.0001485038469581923,-0.00021538126793529955,-0.0001485038469581923,-0.00021538126793529955,0.0,0.0,[],0.01,-60,-60,0.0
24,-4.5655271769646795e-05,-6.252308525290574e-05,-0.00015202086751742172,-0.00022221883773454465,-0.00015202086751742172,-0.00022221883773454465,0.0,0.0,[],0.01,-60,-60,0.0
25,-4.87593976822609e-05,-6.710124675919361e-05,-0.00015520629563070543,-0.0002289080753143935,-0.00015520629563070543,-0.0002289080753143935,0.0,0.0,[],0.01,-60,-60,0.0
