sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,-4.062012885697186e-06,-6.566846423083917e-07,-0.0002031006442848593,-3.283423211541958e-05,-0.0002031006442848593,-3.283423211541958e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
1,-1.2140082253608852e-05,-1.9625220738817005e-06,-0.00040390346839558333,-6.529187157866545e-05,-0.00040390346839558333,-6.529187157866545e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
2,-2.4093019601423293e-05,-3.898684881278313e-06,-0.000597646867390722,-9.680814036983065e-05,-0.000597646867390722,-9.680814036983065e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
3,-3.981244837632403e-05,-6.452554007410072e-06,-0.0007859714387450367,-0.0001276934563065879,-0.0007859714387450367,-0.0001276934563065879,0.0,0.0,[],0.01,-60,-60,0.13442126
4,-5.9189867461100224e-05,-9.610042070562486e-06,-0.0009688709542388096,-0.0001578744031576207,-0.0009688709542388096,-0.0001578744031576207,0.0,0.0,[],0.01,-60,-60,0.13442126
5,-8.214816887630149e-05,-1.3359653203224297e-05,-0.0011479150707600638,-0.0001874805566330906,-0.0011479150707600638,-0.0001874805566330906,0.0,0.0,[],0.01,-60,-60,0.13442126
6,-0.00010866460361285134,-1.7682846482784953e-05,-0.0013258217368274927,-0.00021615966397803277,-0.0013258217368274927,-0.00021615966397803277,0.0,0.0,[],0.01,-60,-60,0.13442126
7,-0.00013863912608940153,-2.256811028928496e-05,-0.0014987261238275096,-0.0002442631903250003,-0.0014987261238275096,-0.0002442631903250003,0.0,0.0,[],0.01,-60,-60,0.13442126
8,-0.00017200961447088047,-2.800549060339108e-05,-0.0016685244190739468,-0.0002718690157053061,-0.0016685244190739468,-0.0002718690157053061,0.0,0.0,[],0.01,-60,-60,0.13442126
9,-0.00020868042804067955,-3.398296732484596e-05,-0.0018335406784899533,-0.00029887383607274387,-0.0018335406784899533,-0.00029887383607274387,0.0,0.0,[],0.01,-60,-60,0.13442126
10,-0.00024853421142324807,-4.048962455271976e-05,-0.0019926891691284254,-0.0003253328613936901,-0.0019926891691284254,-0.0003253328613936901,0.0,0.0,[],0.01,-60,-60,0.13442126
11,-0.00029156466363929214,-4.7516135637124535e-05,-0.0021515226108022034,-0.0003513255542202387,-0.0021515226108022034,-0.0003513255542202387,0.0,0.0,[],0.01,-60,-60,0.13442126
12,-0.00033777726348489524,-5.505208919203142e-05,-0.0023106299922801554,-0.0003767976777453441,-0.0023106299922801554,-0.0003767976777453441,0.0,0.0,[],0.01,-60,-60,0.13442126
13,-0.00038711539964424445,-6.308943571639247e-05,-0.0024669068079674616,-0.00040186732621805277,-0.0024669068079674616,-0.00040186732621805277,0.0,0.0,[],0.01,-60,-60,0.13442126
14,-0.0004394943264196627,-7.161741399613675e-05,-0.002618946338770911,-0.00042639891398721375,-0.002618946338770911,-0.00042639891398721375,0.0,0.0,[],0.01,-60,-60,0.13442126
15,-0.0004948289768071845,-8.06261544857989e-05,-0.0027667325193760917,-0.00045043702448310796,-0.0027667325193760917,-0.00045043702448310796,0.0,0.0,[],0.01,-60,-60,0.13442126
16,-0.0005530363804427907,-9.010494184622076e-05,-0.0029103701817803085,-0.0004739393680210924,-0.0029103701817803085,-0.0004739393680210924,0.0,0.0,[],0.01,-60,-60,0.13442126
17,-0.0006140355483512394,-0.0001000442952499725,-0.0030499583954224363,-0.0004969676701875869,-0.0030499583954224363,-0.0004969676701875869,0.0,0.0,[],0.01,-60,-60,0.13442126
18,-0.0006777345394948498,-0.00011042975933378329,-0.0031849495571805164,-0.0005192732041905401,-0.0031849495571805164,-0.0005192732041905401,0.0,0.0,[],0.01,-60,-60,0.13442126
19,-0.000744058040145319,-0.00012125237051805016,-0.0033161750325234607,-0.0005411305592133431,-0.0033161750325234607,-0.0005411305592133431,0.0,0.0,[],0.01,-60,-60,0.13442126
20,-0.0008129327834467404,-0.0001325033383909613,-0.00344373716507107,-0.0005625483936455566,-0.00344373716507107,-0.0005625483936455566,0.0,0.0,[],0.01,-60,-60,0.13442126
