sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,-4.062022198922932e-06,-6.56684351270087e-07,-0.0002031011099461466,-3.283421756350435e-05,-0.0002031011099461466,-3.283421756350435e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
1,-1.2140093604102729e-05,-1.962521055247635e-06,-0.00040390357025898993,-6.529183519887738e-05,-0.00040390357025898993,-6.529183519887738e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
2,-2.409303095191717e-05,-3.898682407452725e-06,-0.000597646867390722,-9.680806761025451e-05,-0.000597646867390722,-9.680806761025451e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
3,-3.981245623435825e-05,-6.452550733229146e-06,-0.000785971264122054,-0.00012769341628882103,-0.000785971264122054,-0.00012769341628882103,0.0,0.0,[],0.01,-60,-60,0.13442126
4,-5.918987444601953e-05,-9.610038250684739e-06,-0.000968870910583064,-0.00015787437587277964,-0.000968870910583064,-0.00015787437587277964,0.0,0.0,[],0.01,-60,-60,0.13442126
5,-8.21481749881059e-05,-1.3359648946789094e-05,-0.0011479150271043181,-0.00018748053480521776,-0.0011479150271043181,-0.00018748053480521776,0.0,0.0,[],0.01,-60,-60,0.13442126
6,-0.00010866460681427271,-1.7682842153590175e-05,-0.0013258215913083404,-0.00021615966034005396,-0.0013258215913083404,-0.00021615966034005396,0.0,0.0,[],0.01,-60,-60,0.13442126
7,-0.0001386391304549761,-2.2568105814571028e-05,-0.0014987261820351705,-0.0002442631830490427,-0.0014987261820351705,-0.0002442631830490427,0.0,0.0,[],0.01,-60,-60,0.13442126
8,-0.00017200961447088047,-2.8005485328321812e-05,-0.0016685242007952183,-0.0002718689756875392,-0.0016685242007952183,-0.0002718689756875392,0.0,0.0,[],0.01,-60,-60,0.13442126
9,-0.0002086804262944497,-3.398296168597881e-05,-0.001833540591178462,-0.00029887381788284983,-0.001833540591178462,-0.00029887381788284983,0.0,0.0,[],0.01,-60,-60,0.13442126
10,-0.0002485342143336311,-4.048961862281431e-05,-0.001992689401959069,-0.0003253328468417749,-0.001992689401959069,-0.0003253328468417749,0.0,0.0,[],0.01,-60,-60,0.13442126
11,-0.00029156467178836464,-4.751612894324353e-05,-0.0021515228727366775,-0.0003513255160214612,-0.0021515228727366775,-0.0003513255160214612,0.0,0.0,[],0.01,-60,-60,0.13442126
12,-0.00033777727134292945,-5.505208151589614e-05,-0.00231062997772824,-0.0003767976286326302,-0.00231062997772824,-0.0003767976286326302,0.0,0.0,[],0.01,-60,-60,0.13442126
13,-0.00038711540662916377,-6.308942723990186e-05,-0.002466906764311716,-0.0004018672862002859,-0.002466906764311716,-0.0004018672862002859,0.0,0.0,[],0.01,-60,-60,0.13442126
14,-0.00043949433660600334,-7.161740417359397e-05,-0.0026189464988419786,-0.0004263988466846058,-0.0026189464988419786,-0.0004263988466846058,0.0,0.0,[],0.01,-60,-60,0.13442126
15,-0.0004948290006723255,-8.062614309892524e-05,-0.0027667332033161074,-0.0004504369462665636,-0.0027667332033161074,-0.0004504369462665636,0.0,0.0,[],0.01,-60,-60,0.13442126
16,-0.0005530364200240001,-9.010492842207897e-05,-0.002910370967583731,-0.0004739392661576858,-0.002910370967583731,-0.0004739392661576858,0.0,0.0,[],0.01,-60,-60,0.13442126
17,-0.0006140356068499387,-0.00010004428084357643,-0.003049959341296926,-0.000496967621074873,-0.003049959341296926,-0.000496967621074873,0.0,0.0,[],0.01,-60,-60,0.13442126
18,-0.0006777346093440428,-0.00011042974332667656,-0.0031849501247052103,-0.0005192731241550064,-0.0031849501247052103,-0.0005192731241550064,0.0,0.0,[],0.01,-60,-60,0.13442126
