sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,1.4248376828618348e-06,-7.082866068230942e-07,7.124188414309174e-05,-3.541433034115471e-05,7.124188414309174e-05,-3.541433034115471e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
1,4.237028624629602e-06,-2.11060352739878e-06,0.00014060954708838835,-7.011584602878429e-05,0.00014060954708838835,-7.011584602878429e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
2,8.399933867622168e-06,-4.193029089947231e-06,0.00020814526214962825,-0.00010412127812742256,0.00020814526214962825,-0.00010412127812742256,0.0,0.0,[],0.01,-60,-60,0.14140469
3,1.3875865115551279e-05,-6.941877727513202e-06,0.00027379656239645556,-0.00013744243187829852,0.00027379656239645556,-0.00013744243187829852,0.0,0.0,[],0.01,-60,-60,0.14140469
4,2.0630254439311103e-05,-1.0343728354200722e-05,0.0003377194661879912,-0.00017009253133437596,0.0003377194661879912,-0.00017009253133437596,0.0,0.0,[],0.01,-60,-60,0.14140469
5,2.862941721105017e-05,-1.4385435497388245e-05,0.0003999581385869533,-0.00020208535715937614,0.0003999581385869533,-0.00020208535715937614,0.0,0.0,[],0.01,-60,-60,0.14140469
6,3.784053435083479e-05,-1.90541181655135e-05,0.00046055585698923096,-0.00023343413340626284,0.00046055585698923096,-0.00023343413340626284,0.0,0.0,[],0.01,-60,-60,0.14140469
7,4.8285008961102e-05,-2.4335208945558406e-05,0.0005222237305133604,-0.0002640545390022453,0.0005222237305133604,-0.0002640545390022453,0.0,0.0,[],0.01,-60,-60,0.14140469
8,5.9930382558377463e-05,-3.021637563506374e-05,0.0005822686798637733,-0.00029405833447526675,0.0005822686798637733,-0.00029405833447526675,0.0,0.0,[],0.01,-60,-60,0.14140469
9,7.275051801116206e-05,-3.6685281884274445e-05,0.0006410067726392299,-0.0003234453124605352,0.0006410067726392299,-0.0003234453124605352,0.0,0.0,[],0.01,-60,-60,0.14140469
10,8.671176314237528e-05,-4.3730158831749575e-05,0.0006980622565606609,-0.0003522438473737566,0.0006980622565606609,-0.0003522438473737566,0.0,0.0,[],0.01,-60,-60,0.14140469
11,0.00010180586759815924,-5.133647700859001e-05,0.0007547052227891982,-0.0003803159088420216,0.0007547052227891982,-0.0003803159088420216,0.0,0.0,[],0.01,-60,-60,0.14140469
12,0.00011800280648458284,-5.949295253230957e-05,0.0008098469443211798,-0.0004078237761859782,0.0008098469443211798,-0.0004078237761859782,0.0,0.0,[],0.01,-60,-60,0.14140469
13,0.00013526984585041646,-6.818878937338013e-05,0.0008633519682916813,-0.00043479184205352794,0.0008633519682916813,-0.00043479184205352794,0.0,0.0,[],0.01,-60,-60,0.14140469
14,0.00015351093315985054,-7.741363955574343e-05,0.0009120543654717039,-0.0004612425091181649,0.0009120543654717039,-0.0004612425091181649,0.0,0.0,[],0.01,-60,-60,0.14140469
15,0.000172699810937047,-8.715687246876769e-05,0.0009594438888598233,-0.0004871616456512129,0.0009594438888598233,-0.0004871616456512129,0.0,0.0,[],0.01,-60,-60,0.14140469
16,0.00019279128064226826,-9.740804885950638e-05,0.0010045734852610622,-0.0005125588195369346,0.0010045734852610622,-0.0005125588195369346,0.0,0.0,[],0.01,-60,-60,0.14140469
17,0.00021376086093368942,-0.00010815697740326868,0.0010484790145710576,-0.0005374464271881152,0.0010484790145710576,-0.0005374464271881152,0.0,0.0,[],0.01,-60,-60,0.14140469
18,0.00023558495035103991,-0.00011939364641875727,0.001091204470867524,-0.0005618334507744294,0.001091204470867524,-0.0005618334507744294,0.0,0.0,[],0.01,-60,-60,0.14140469
19,0.00025824052434472836,-0.00013110824962495827,0.0011327786996844225,-0.0005857301603100495,0.0011327786996844225,-0.0005857301603100495,0.0,0.0,[],0.01,-60,-60,0.14140469
20,0.0002817052190221148,-0.00014329117791930912,0.0011732347338693216,-0.0006091464147175429,0.0011732347338693216,-0.0006091464147175429,0.0,0.0,[],0.01,-60,-60,0.14140469
21,0.00030595725293096625,-0.00015593301184708253,0.0012126016954425722,-0.0006320916963886702,0.0012126016954425722,-0.0006320916963886702,0.0,0.0,[],0.01,-60,-60,0.14140469
22,0.00033103856010711756,-0.0001690263260752545,0.0012540653588075656,-0.0006546657114085974,0.0012540653588075656,-0.0006546657114085974,0.0,0.0,[],0.01,-60,-60,0.14140469
23,0.00035692679011845035,-0.0001825620419549523,0.001294411500566639,-0.0006767857939848909,0.001294411500566639,-0.0006767857939848909,0.0,0.0,[],0.01,-60,-60,0.14140469
24,0.00038357367018761586,-0.00019653426792501705,0.0013323440034582745,-0.0006986112985032378,0.0013323440034582745,-0.0006986112985032378,0.0,0.0,[],0.01,-60,-60,0.14140469
25,0.00041108960125711756,-0.00021093665731314104,0.0013757965534750838,-0.0007201194694061996,0.0013757965534750838,-0.0007201194694061996,0.0,0.0,[],0.01,-60,-60,0.14140469
26,0.0004394504525407684,-0.00022576057835976826,0.0014180425641825423,-0.000741196052331361,0.0014180425641825423,-0.000741196052331361,0.0,0.0,[],0.01,-60,-60,0.14140469
27,0.00046863354109518703,-0.00024099755944916978,0.0014591544277209323,-0.0007618490544700762,0.0014591544277209323,-0.0007618490544700762,0.0,0.0,[],0.01,-60,-60,0.14140469
28,0.0004986167162860512,-0.0002566392970038578,0.0014991587595432065,-0.0007820868777344003,0.0014991587595432065,-0.0007820868777344003,0.0,0.0,[],0.01,-60,-60,0.14140469
29,0.0005293784569948913,-0.0002726776571580558,0.001538087035442004,-0.0008019180077099008,0.001538087035442004,-0.0008019180077099008,0.0,0.0,[],0.01,-60,-60,0.14140469
30,0.0005608977910014802,-0.00028910466651723256,0.0015759667003294453,-0.0008213504679588368,0.0015759667003294453,-0.0008213504679588368,0.0,0.0,[],0.01,-60,-60,0.14140469
31,0.0005931543208134828,-0.0003059125126674189,0.0016128264906001277,-0.0008403923075093189,0.0016128264906001277,-0.0008403923075093189,0.0,0.0,[],0.01,-60,-60,0.14140469
32,0.0006261153213563377,-0.00032309362992236854,0.0016480500271427445,-0.000859055862747482,0.0016480500271427445,-0.000859055862747482,0.0,0.0,[],0.01,-60,-60,0.14140469
33,0.0006597618397790941,-0.0003406405133864609,0.0016823259211378172,-0.0008773441732046194,0.0016823259211378172,-0.0008773441732046194,0.0,0.0,[],0.01,-60,-60,0.14140469
34,0.0006940754796232797,-0.0003585458113593631,0.0017156819922092836,-0.0008952648986451095,0.0017156819922092836,-0.0008952648986451095,0.0,0.0,[],0.01,-60,-60,0.14140469
35,0.0007291192929551473,-0.0003767934589996002,0.0017521906665933784,-0.000912382382011856,0.0017521906665933784,-0.000912382382011856,0.0,0.0,[],0.01,-60,-60,0.14140469
36,0.0007648736105329592,-0.00039537657808978103,0.0017877158788905945,-0.0009291559545090422,0.0017877158788905945,-0.0009291559545090422,0.0,0.0,[],0.01,-60,-60,0.14140469
37,0.0008013193211809268,-0.0004142884269822388,0.0018222855323983822,-0.0009455924446228892,0.0018222855323983822,-0.0009455924446228892,0.0,0.0,[],0.01,-60,-60,0.14140469
38,0.0008384378335904332,-0.0004335223983071045,0.0018559256204753183,-0.0009616985662432853,0.0018559256204753183,-0.0009616985662432853,0.0,0.0,[],0.01,-60,-60,0.14140469
39,0.0008762132535048296,-0.00045306981723115304,0.001888770995719824,-0.0009773709462024271,0.001888770995719824,-0.0009773709462024271,0.0,0.0,[],0.01,-60,-60,0.14140469
40,0.0009146279164997396,-0.0004729243837573448,0.0019207331497455016,-0.0009927283263095887,0.0019207331497455016,-0.0009927283263095887,0.0,0.0,[],0.01,-60,-60,0.14140469
41,0.0009536645998014138,-0.0004930799246903915,0.00195183416508371,-0.0010077770466523361,0.00195183416508371,-0.0010077770466523361,0.0,0.0,[],0.01,-60,-60,0.14140469
42,0.0009933065155564693,-0.0005135303892529918,0.001982095787752769,-0.0010225232281300123,0.001982095787752769,-0.0010225232281300123,0.0,0.0,[],0.01,-60,-60,0.14140469
43,0.0010335374003989275,-0.0005342698526328603,0.002011544242122909,-0.001036973168993427,0.002011544242122909,-0.001036973168993427,0.0,0.0,[],0.01,-60,-60,0.14140469
44,0.0010743413374439117,-0.0005552925053780199,0.0020401968522492098,-0.0010511326372579788,0.0020401968522492098,-0.0010511326372579788,0.0,0.0,[],0.01,-60,-60,0.14140469
45,0.0011157029148671429,-0.000576592656689172,0.0020680788711615605,-0.0010650075655576074,0.0020680788711615605,-0.0010650075655576074,0.0,0.0,[],0.01,-60,-60,0.14140469
46,0.001157607105014904,-0.0005981647272528788,0.0020952095073880628,-0.0010786035281853401,0.0020952095073880628,-0.0010786035281853401,0.0,0.0,[],0.01,-60,-60,0.14140469
47,0.0012000651335620205,-0.0006200033401000836,0.0021229014273558278,-0.0010919306423602393,0.0021229014273558278,-0.0010919306423602393,0.0,0.0,[],0.01,-60,-60,0.14140469
48,0.001243042907990457,-0.0006421044173839617,0.0021488887214218266,-0.0011050538641939056,0.0021488887214218266,-0.0011050538641939056,0.0,0.0,[],0.01,-60,-60,0.14140469
49,0.0012865458004307584,-0.0006644624299588029,0.0021751446220150683,-0.0011179006287420634,0.0021751446220150683,-0.0011179006287420634,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
50,0.0013305595380006707,-0.0006870722170788211,0.002200686878495617,-0.0011304893560009077,0.002200686878495617,-0.0011304893560009077,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
51,0.0013750702353354427,-0.00070992871753333,0.002225534866738599,-0.0011428250227254466,0.002225534866738599,-0.0011428250227254466,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
52,0.0014200643719232174,-0.0007330269722297088,0.0022497068293887423,-0.0011549127348189359,0.0022497068293887423,-0.0011549127348189359,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
53,0.001465529411798343,-0.0007563621133886043,0.0022732519937562756,-0.0011667570579447784,0.0022732519937562756,-0.0011667570579447784,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
54,0.0015114531297876965,-0.0007799293384960035,0.002296185899467673,-0.001178361255369964,0.002296185899467673,-0.001178361255369964,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
55,0.0015578230170649476,-0.0008037239829354801,0.0023184943638625555,-0.0011897322219738271,0.0023184943638625555,-0.0011897322219738271,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
56,0.0016046269754951936,-0.0008277414721487728,0.0023401979215122992,-0.001200874460664636,0.0023401979215122992,-0.001200874460664636,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
57,0.0016518531723340856,-0.0008519773271109441,0.0023613098419446032,-0.0012117927481085644,0.0023613098419446032,-0.0012117927481085644,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
58,0.0016994901227008084,-0.0008764271569998525,0.0023818475183361443,-0.0012224914944454213,0.0023818475183361443,-0.0012224914944454213,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
59,0.0017475266643668871,-0.0009010866592143427,0.0024018270833039423,-0.0012329751107245102,0.0024018270833039423,-0.0012329751107245102,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
60,0.0017959518876523358,-0.0009259516167912804,0.002421261164272437,-0.001243247878846887,0.002421261164272437,-0.001243247878846887,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
61,0.0018447590230789498,-0.0009510174137903957,0.0024403567713306984,-0.0012532898499557632,0.0024403567713306984,-0.0012532898499557632,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
62,0.0018947317432684938,-0.0009766913709427169,0.0024986360094771953,-0.0012836978576160618,0.0024986360094771953,-0.0012836978576160618,0.0,0.0,[],0.015892386741372787,0.9833334,1.2538029,0.14140469
63,0.001945833287463756,-0.0010029612326252389,0.0025550772097631125,-0.0013134930841260939,0.0025550772097631125,-0.0013134930841260939,0.0,0.0,[],0.015892383,0.9833334,1.2538029,0.14140469
64,0.001998028078705829,-0.0010298149748814464,0.0026097395621036412,-0.0013426871128103812,0.0026097395621036412,-0.0013426871128103812,0.0,0.0,[],0.015892373,0.9833334,1.2538029,0.14140469
65,0.0020514029839250724,-0.001057294197089504,0.0026687452609621687,-0.0013739611104028882,0.0026687452609621687,-0.0013739611104028882,0.0,0.0,[],0.015892355,0.9833334,1.2538029,0.14140469
66,0.002105948665521282,-0.0010853832957764093,0.002727284079810488,-0.0014044549343452672,0.002727284079810488,-0.0014044549343452672,0.0,0.0,[],0.015892323,0.9833334,1.2538029,0.14140469
