sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,1.4248563093133271e-06,-7.082863885443658e-07,7.124281546566635e-05,-3.541431942721829e-05,7.124281546566635e-05,-3.541431942721829e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
1,4.237067914800718e-06,-2.1106038184370845e-06,0.00014061058027436957,-7.011587149463594e-05,0.00014061058027436957,-7.011587149463594e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
2,8.399994985666126e-06,-4.193029963062145e-06,0.00020814635354327038,-0.00010412130723125301,0.00020814635354327038,-0.00010412130723125301,0.0,0.0,[],0.01,-60,-60,0.14140469
3,1.3875954609829934e-05,-6.941878527868539e-06,0.0002737979812081903,-0.00013744242824031971,0.0002737979812081903,-0.00013744242824031971,0.0,0.0,[],0.01,-60,-60,0.14140469
4,2.0630373910535127e-05,-1.0343729154556059e-05,0.0003377209650352597,-0.00017009253133437596,0.0003377209650352597,-0.00017009253133437596,0.0,0.0,[],0.01,-60,-60,0.14140469
5,2.8629565931623802e-05,-1.4385435424628667e-05,0.00039995960105443373,-0.00020208531350363046,0.00039995960105443373,-0.00020208531350363046,0.0,0.0,[],0.01,-60,-60,0.14140469
6,3.784071814152412e-05,-1.9054117292398586e-05,0.000460557610495016,-0.00023343409338849597,0.000460557610495016,-0.00023343409338849597,0.0,0.0,[],0.01,-60,-60,0.14140469
7,4.828523204196244e-05,-2.433520734484773e-05,0.0005222256950219162,-0.0002640545026224572,0.0005222256950219162,-0.0002640545026224572,0.0,0.0,[],0.01,-60,-60,0.14140469
8,5.993064223730471e-05,-3.0216373306757302e-05,0.0005822705097671133,-0.0002940582980954787,0.0005822705097671133,-0.0002940582980954787,0.0,0.0,[],0.01,-60,-60,0.14140469
9,7.275082738487981e-05,-3.6685278864752035e-05,0.0006410092573787551,-0.00032344527789973654,0.0006410092573787551,-0.00032344527789973654,0.0,0.0,[],0.01,-60,-60,0.14140469
10,8.671212417539209e-05,-4.3730155302910136e-05,0.0006980648395256139,-0.00035224382190790493,0.0006980648395256139,-0.00035224382190790493,0.0,0.0,[],0.01,-60,-60,0.14140469
11,0.00010180627890804317,-5.1336473079572896e-05,0.0007547077366325539,-0.00038031588883313816,0.0007547077366325539,-0.00038031588883313816,0.0,0.0,[],0.01,-60,-60,0.14140469
12,0.00011800325781223364,-5.949294820311479e-05,0.0008098489452095237,-0.00040782375617709477,0.0008098489452095237,-0.00040782375617709477,0.0,0.0,[],0.01,-60,-60,0.14140469
13,0.00013527032700949348,-6.81887854807428e-05,0.0008633534598629922,-0.0004347918638814008,0.0008633534598629922,-0.0004347918638814008,0.0,0.0,[],0.01,-60,-60,0.14140469
14,0.00015351144240412394,-7.74136359541444e-05,0.0009120557697315235,-0.0004612425236700801,0.0009120557697315235,-0.0004612425236700801,0.0,0.0,[],0.01,-60,-60,0.14140469
15,0.00017270034564717207,-8.715686944924527e-05,0.0009594451621524058,-0.00048716167475504335,0.0009594451621524058,-0.00048716167475504335,0.0,0.0,[],0.01,-60,-60,0.14140469
16,0.0001927918397996109,-9.740804616740205e-05,0.0010045747076219413,-0.0005125588359078392,0.0010045747076219413,-0.0005125588359078392,0.0,0.0,[],0.01,-60,-60,0.14140469
17,0.0002137614491948625,-0.00010815697540238032,0.0010484804697625805,-0.0005374464617489139,0.0010484804697625805,-0.0005374464617489139,0.0,0.0,[],0.01,-60,-60,0.14140469
18,0.00023558556255011352,-0.000119393644745287,0.0010912056677625515,-0.000561833467145334,0.0010912056677625515,-0.000561833467145334,0.0,0.0,[],0.01,-60,-60,0.14140469
19,0.00025824116346484516,-0.00013110824722389224,0.001132780045736581,-0.0005857301239302615,0.001132780045736581,-0.0005857301239302615,0.0,0.0,[],0.01,-60,-60,0.14140469
20,0.00028170589117507914,-0.00014329117511806543,0.0011732363855117,-0.0006091463947086595,0.0011732363855117,-0.0006091463947086595,0.0,0.0,[],0.01,-60,-60,0.14140469
21,0.0003059579609544016,-0.00015593300773616647,0.0012126034889661241,-0.0006320916309050517,0.0012126034889661241,-0.0006320916309050517,0.0,0.0,[],0.01,-60,-60,0.14140469
22,0.0003310393004358047,-0.00016902632058190647,0.001254066974070156,-0.0006546656422870001,0.001254066974070156,-0.0006546656422870001,0.0,0.0,[],0.01,-60,-60,0.14140469
23,0.00035692755453055715,-0.00018256203544297022,0.0012944127047376242,-0.0006767857430531876,0.0012944127047376242,-0.0006767857430531876,0.0,0.0,[],0.01,-60,-60,0.14140469
24,0.0003835744511161464,-0.000196534259521286,0.0013323448292794637,-0.0006986112039157888,0.0013323448292794637,-0.0006986112039157888,0.0,0.0,[],0.01,-60,-60,0.14140469
25,0.00041109039339062283,-0.00021093664658110355,0.00137579711372382,-0.0007201193529908778,0.00137579711372382,-0.0007201193529908778,0.0,0.0,[],0.01,-60,-60,0.14140469
26,0.0004394512551516526,-0.00022576056500838603,0.0014180430880514905,-0.0007411959213641239,0.0014180430880514905,-0.0007411959213641239,0.0,0.0,[],0.01,-60,-60,0.14140469
27,0.00046863435418345025,-0.00024099754318740452,0.0014591549515898805,-0.0007618489089509239,0.0014591549515898805,-0.0007618489089509239,0.0,0.0,[],0.01,-60,-60,0.14140469
28,0.0004986175326484953,-0.00025663927717687327,0.0014991589232522529,-0.0007820866994734388,0.0014991589232522529,-0.0007820866994734388,0.0,0.0,[],0.01,-60,-60,0.14140469
29,0.0005293792724842205,-0.00027267763420240953,0.0015380869917862583,-0.0008019178512768121,0.0015380869917862583,-0.0008019178512768121,0.0,0.0,[],0.01,-60,-60,0.14140469
30,0.0005608986056176944,-0.00028910464046930426,0.0015759666566736996,-0.0008213503133447375,0.0015759666566736996,-0.0008213503133447375,0.0,0.0,[],0.01,-60,-60,0.14140469
31,0.0005931551412504631,-0.0003059124833089299,0.0016128267816384323,-0.0008403921419812832,0.0016128267816384323,-0.0008403921419812832,0.0,0.0,[],0.01,-60,-60,0.14140469
32,0.0006261161392467328,-0.0003230935980536742,0.0016480498998134863,-0.0008590557372372132,0.0016480498998134863,-0.0008590557372372132,0.0,0.0,[],0.01,-60,-60,0.14140469
33,0.0006597626469738314,-0.0003406404798442963,0.0016823253863549326,-0.0008773440895311069,0.0016823253863549326,-0.0008773440895311069,0.0,0.0,[],0.01,-60,-60,0.14140469
34,0.0006940762796875786,-0.0003585457758890697,0.0017156816356873605,-0.0008952648022386711,0.0017156816356873605,-0.0008952648022386711,0.0,0.0,[],0.01,-60,-60,0.14140469
35,0.0007291200821055098,-0.00037679342229239403,0.0017521901208965573,-0.0009123823201662162,0.0017521901208965573,-0.0009123823201662162,0.0,0.0,[],0.01,-60,-60,0.14140469
36,0.0007648743863683192,-0.00039537654032756103,0.0017877152131404728,-0.0009291559017583495,0.0017877152131404728,-0.0009291559017583495,0.0,0.0,[],0.01,-60,-60,0.14140469
37,0.0008013200865389079,-0.00041428838871070177,0.001822285008529434,-0.0009455924191570375,0.001822285008529434,-0.0009455924191570375,0.0,0.0,[],0.01,-60,-60,0.14140469
38,0.0008384385887620735,-0.00043352235908969297,0.0018559251111582853,-0.0009616985189495608,0.0018559251111582853,-0.0009616985189495608,0.0,0.0,[],0.01,-60,-60,0.14140469
39,0.0008762139952159484,-0.00045306977655855,0.0018887703226937447,-0.000977370873442851,0.0018887703226937447,-0.000977370873442851,0.0,0.0,[],0.01,-60,-60,0.14140469
40,0.0009146286494797093,-0.00047292434195696833,0.0019207327131880447,-0.0009927282699209172,0.0019207327131880447,-0.0009927282699209172,0.0,0.0,[],0.01,-60,-60,0.14140469
41,0.0009536653167742768,-0.0004930798812347347,0.0019518333647283725,-0.0010077769638883183,0.0019518333647283725,-0.0010077769638883183,0.0,0.0,[],0.01,-60,-60,0.14140469
42,0.0009933072228886883,-0.0005135303443785232,0.001982095305720577,-0.0010225231571894255,0.001982095305720577,-0.0010225231571894255,0.0,0.0,[],0.01,-60,-60,0.14140469
43,0.0010335380976175654,-0.0005342698063213901,0.002011543736443855,-0.0010369730971433455,0.002011543736443855,-0.0010369730971433455,0.0,0.0,[],0.01,-60,-60,0.14140469
44,0.0010743420294966196,-0.000555292458484473,0.0020401965939527145,-0.0010511326081541483,0.0020401965939527145,-0.0010511326081541483,0.0,0.0,[],0.01,-60,-60,0.14140469
45,0.0011157035996438931,-0.0005765926082312943,0.00206807850736368,-0.001065007487341063,0.00206807850736368,-0.001065007487341063,0.0,0.0,[],0.01,-60,-60,0.14140469
46,0.0011576077793142754,-0.0005981646775944682,0.0020952089835191146,-0.0010786034681586898,0.0020952089835191146,-0.0010786034681586898,0.0,0.0,[],0.01,-60,-60,0.14140469
47,0.0012000657930548182,-0.00062000328924114,0.0021229006870271405,-0.001091930582333589,0.0021229006870271405,-0.001091930582333589,0.0,0.0,[],0.01,-60,-60,0.14140469
48,0.0012430435543501512,-0.0006421043651607761,0.002148888064766652,-0.001105053795981803,0.002148888064766652,-0.001105053795981803,0.0,0.0,[],0.01,-60,-60,0.14140469
49,0.001286546432274917,-0.0006644623766806035,0.0021751438962382963,-0.0011179005759913707,0.0021751438962382963,-0.0011179005759913707,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
50,0.0013305601583124365,-0.0006870721624909492,0.002200686301875976,-0.0011304892905172892,0.002200686301875976,-0.0011304892905172892,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
51,0.0013750708511361147,-0.0007099286611446586,0.0022255346411839128,-0.0011428249326854711,0.0022255346411839128,-0.0011428249326854711,0.0,0.0,[],0.01,0.9833334,-60,0.14140469
52,0.00142376287614752,-0.000734908305475983,0.0024346012505702674,-0.001248982216566219,0.0024346012505702674,-0.001248982216566219,0.0,0.0,[],0.03691997852903827,0.9833334,1.0465223,0.14140469
