sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,1.331605453742668e-06,4.448318577487953e-08,6.65802726871334e-05,2.2241592887439765e-06,6.65802726871334e-05,2.2241592887439765e-06,0.0,0.0,[],0.01,-60,-60,0.0
1,3.9655419823247935e-06,1.3253210454422515e-07,0.0001316968264291063,4.402445938467281e-06,0.0001316968264291063,4.402445938467281e-06,0.0,0.0,[],0.01,-60,-60,0.0
2,7.873185677453875e-06,2.6324803911847996e-07,0.00019538218475645408,6.535796728712739e-06,0.00019538218475645408,6.535796728712739e-06,0.0,0.0,[],0.01,-60,-60,0.0
3,1.3030551053816451e-05,4.357417947176146e-07,0.00025786826881812885,8.62468777995673e-06,0.00025786826881812885,8.62468777995673e-06,0.0,0.0,[],0.01,-60,-60,0.0
4,1.9428103405516593e-05,6.496815694845282e-07,0.0003198776175850071,1.069698873834568e-05,0.0003198776175850071,1.069698873834568e-05,0.0,0.0,[],0.01,-60,-60,0.0
5,2.703852813283447e-05,9.042118745128392e-07,0.00038052123636589386,1.2726515251415549e-05,0.00038052123636589386,1.2726515251415549e-05,0.0,0.0,[],0.01,-60,-60,0.0
6,3.582298108085524e-05,1.2006767747152482e-06,0.00043922264740103856,1.4823245010120445e-05,0.00043922264740103856,1.4823245010120445e-05,0.0,0.0,[],0.01,-60,-60,0.0
7,4.5754695092909964e-05,1.5382141145892094e-06,0.0004965857006027363,1.687686699369806e-05,0.0004965857006027363,1.687686699369806e-05,0.0,0.0,[],0.01,-60,-60,0.0
8,5.680841131834313e-05,1.915976613418025e-06,0.0005526858112716582,1.8888124941440765e-05,0.0005526858112716582,1.8888124941440765e-05,0.0,0.0,[],0.01,-60,-60,0.0
9,6.895943537529092e-05,2.3331342481469622e-06,0.0006075512028473895,2.085788173644687e-05,0.0006075512028473895,2.085788173644687e-05,0.0,0.0,[],0.01,-60,-60,0.0
10,8.21836142858956e-05,2.7888746490134512e-06,0.0006612089455302339,2.2787020043324446e-05,0.0006612089455302339,2.2787020043324446e-05,0.0,0.0,[],0.01,-60,-60,0.0
11,9.645688020100351e-05,3.2824039521983654e-06,0.0007136632957553957,2.467646515924571e-05,0.0007136632957553957,2.467646515924571e-05,0.0,0.0,[],0.01,-60,-60,0.0
12,0.00011175708008522633,3.8129740369186043e-06,0.000765009994211141,2.652850423601194e-05,0.000765009994211141,2.652850423601194e-05,0.0,0.0,[],0.01,-60,-60,0.0
13,0.00012806161226762923,4.3798208344014715e-06,0.0008152266091201454,2.8342339874143363e-05,0.0008152266091201454,2.8342339874143363e-05,0.0,0.0,[],0.01,-60,-60,0.0
14,0.00014534836845996323,4.982195869160933e-06,0.0008643378096166998,3.011875173797307e-05,0.0008643378096166998,3.011875173797307e-05,0.0,0.0,[],0.01,-60,-60,0.0
15,0.0001635975322278682,5.619344112801628e-06,0.0009124581883952487,3.185741218203475e-05,0.0009124581883952487,3.185741218203475e-05,0.0,0.0,[],0.01,-60,-60,0.0
16,0.0001827879246411612,6.290547553362558e-06,0.0009595196206646506,3.356017202804651e-05,0.0009595196206646506,3.356017202804651e-05,0.0,0.0,[],0.01,-60,-60,0.0
17,0.00020289882595534434,6.995103910867329e-06,0.001005545065709157,3.522781787523854e-05,0.001005545065709157,3.522781787523854e-05,0.0,0.0,[],0.01,-60,-60,0.0
18,0.00022391281716409138,7.732512694929029e-06,0.0010506995604373515,3.687043920308497e-05,0.0010506995604373515,3.687043920308497e-05,0.0,0.0,[],0.01,-60,-60,0.0
19,0.0002458250850031618,8.502017362843618e-06,0.0010956133919535205,3.847523339572945e-05,0.0010956133919535205,3.847523339572945e-05,0.0,0.0,[],0.01,-60,-60,0.0
20,0.00026861587080929895,9.302955254497648e-06,0.0011395392903068569,4.00468945827015e-05,0.0011395392903068569,4.00468945827015e-05,0.0,0.0,[],0.01,-60,-60,0.0
21,0.0002922658436000347,1.0134677797850601e-05,0.0011824986395367887,4.1586127167647646e-05,0.0011824986395367887,4.1586127167647646e-05,0.0,0.0,[],0.01,-60,-60,0.0
22,0.00031675609170633834,1.099654932431804e-05,0.0012245124053151812,4.309357632337196e-05,0.0012245124053151812,4.309357632337196e-05,0.0,0.0,[],0.01,-60,-60,0.0
23,0.0003420681265561143,1.1887947425748282e-05,0.0012656017424887978,4.456990507151204e-05,0.0012656017424887978,4.456990507151204e-05,0.0,0.0,[],0.01,-60,-60,0.0
24,0.00036818386448430826,1.2808263331862694e-05,0.0013057868964096997,4.601579530572053e-05,0.0013057868964096997,4.601579530572053e-05,0.0,0.0,[],0.01,-60,-60,0.0
25,0.00039508563211711586,1.375690031636623e-05,0.0013450883816403802,4.743184922517685e-05,0.0013450883816403802,4.743184922517685e-05,0.0,0.0,[],0.01,-60,-60,0.0
26,0.0004227563695167191,1.4733340626662541e-05,0.001383536869980162,4.8822015514815575e-05,0.001383536869980162,4.8822015514815575e-05,0.0,0.0,[],0.01,-60,-60,0.0
27,0.0004511791481490945,1.5737010451175595e-05,0.0014211389316187706,5.018349122565269e-05,0.0014211389316187706,5.018349122565269e-05,0.0,0.0,[],0.01,-60,-60,0.0
28,0.000480337195112952,1.676734643069722e-05,0.0014579023481928743,5.151679897608119e-05,0.0014579023481928743,5.151679897608119e-05,0.0,0.0,[],0.01,-60,-60,0.0
29,0.0005102137230278458,1.7823908397076597e-05,0.0014938263957446907,5.282809831896884e-05,0.0014938263957446907,5.282809831896884e-05,0.0,0.0,[],0.01,-60,-60,0.0
