sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,1.3316035619936884e-06,4.448314484761795e-08,6.658017809968442e-05,2.2241572423808975e-06,6.658017809968442e-05,2.2241572423808975e-06,0.0,0.0,[],0.01,-60,-60,0.0
1,3.965539217460901e-06,1.3253200449980794e-07,0.0001316967827733606,4.4024429826095e-06,0.0001316967827733606,4.4024429826095e-06,0.0,0.0,[],0.01,-60,-60,0.0
2,7.87318145739846e-06,2.6324789814680116e-07,0.00019538211199687794,6.5357946823496604e-06,0.00019538211199687794,6.5357946823496604e-06,0.0,0.0,[],0.01,-60,-60,0.0
3,1.3030545815126971e-05,4.357418401923496e-07,0.00025786821788642555,8.624697102277423e-06,0.00025786821788642555,8.624697102277423e-06,0.0,0.0,[],0.01,-60,-60,0.0
4,1.9428096129558982e-05,6.496819332824088e-07,0.0003198775157216005,1.0697004654502962e-05,0.0003198775157216005,1.0697004654502962e-05,0.0,0.0,[],0.01,-60,-60,0.0
5,2.7038516636821443e-05,9.042124474945012e-07,0.00038052102536312304,1.272652571060462e-05,0.00038052102536312304,1.272652571060462e-05,0.0,0.0,[],0.01,-60,-60,0.0
6,3.58229638368357e-05,1.2006773158645955e-06,0.0004392223600007128,1.4823243418504717e-05,0.0004392223600007128,1.4823243418504717e-05,0.0,0.0,[],0.01,-60,-60,0.0
7,4.575467253744137e-05,1.5382146739284507e-06,0.0004965854350302834,1.687686790319276e-05,0.0004965854350302834,1.687686790319276e-05,0.0,0.0,[],0.01,-60,-60,0.0
8,5.680838454281912e-05,1.915977095450216e-06,0.0005526856002688874,1.8888121076088282e-05,0.0005526856002688874,1.8888121076088282e-05,0.0,0.0,[],0.01,-60,-60,0.0
9,6.895940627146047e-05,2.333134734726627e-06,0.0006075510864320677,2.0857881963820546e-05,0.0006075510864320677,2.0857881963820546e-05,0.0,0.0,[],0.01,-60,-60,0.0
10,8.218358401791193e-05,2.7888751083082747e-06,0.000661208887322573,2.2787018679082394e-05,0.000661208887322573,2.2787018679082394e-05,0.0,0.0,[],0.01,-60,-60,0.0
11,9.645684680435808e-05,3.282404411493189e-06,0.000713663139322307,2.467646515924571e-05,0.000713663139322307,2.467646515924571e-05,0.0,0.0,[],0.01,-60,-60,0.0
12,0.0001117570454516681,3.8129743893478e-06,0.0007650099323655013,2.6528498892730568e-05,0.0007650099323655013,2.6528498892730568e-05,0.0,0.0,[],0.01,-60,-60,0.0
13,0.00012806157501472627,4.379821061775146e-06,0.0008152264781529084,2.8342333621367288e-05,0.0008152264781529084,2.8342333621367288e-05,0.0,0.0,[],0.01,-60,-60,0.0
14,0.00014534832938807086,4.9821962306850764e-06,0.0008643377186672296,3.0118758445496496e-05,0.0008643377186672296,3.0118758445496496e-05,0.0,0.0,[],0.01,-60,-60,0.0
15,0.00016359748951799702,5.619344599381293e-06,0.0009124580064963084,3.1857418434810825e-05,0.0009124580064963084,3.1857418434810825e-05,0.0,0.0,[],0.01,-60,-60,0.0
16,0.00018278787814779207,6.290548244578531e-06,0.0009595194314897526,3.3560182259861904e-05,0.0009595194314897526,3.3560182259861904e-05,0.0,0.0,[],0.01,-60,-60,0.0
17,0.00020289877604227514,6.99510496133371e-06,0.001005544894724153,3.52278358377589e-05,0.001005544894724153,3.52278358377589e-05,0.0,0.0,[],0.01,-60,-60,0.0
18,0.00022391276615962852,7.73251420696397e-06,0.0010506995058676694,3.687046228151303e-05,0.0010506995058676694,3.687046228151303e-05,0.0,0.0,[],0.01,-60,-60,0.0
19,0.0002458250332711032,8.50201926596128e-06,0.0010956133555737324,3.8475252949865535e-05,0.0010956133555737324,3.8475252949865535e-05,0.0,0.0,[],0.01,-60,-60,0.0
20,0.00026861581871344246,9.302957660111134e-06,0.0011395392721169628,4.0046919707492634e-05,0.0011395392721169628,4.0046919707492634e-05,0.0,0.0,[],0.01,-60,-60,0.0
21,0.00029226579230453355,1.013468055134581e-05,0.0011824986795545556,4.158614456173382e-05,0.0011824986795545556,4.158614456173382e-05,0.0,0.0,[],0.01,-60,-60,0.0
22,0.0003167560400470393,1.0996552423421236e-05,0.0012245123871252872,4.3093593603771296e-05,0.0012245123871252872,4.3093593603771296e-05,0.0,0.0,[],0.01,-60,-60,0.0
23,0.00034206807460577697,1.188795087955441e-05,0.0012656017279368825,4.4569922806658724e-05,0.0012656017279368825,4.4569922806658724e-05,0.0,0.0,[],0.01,-60,-60,0.0
24,0.0003681838132615667,1.2808266808406188e-05,0.0013057869327894878,4.601579644258891e-05,0.0013057869327894878,4.601579644258891e-05,0.0,0.0,[],0.01,-60,-60,0.0
25,0.0003950855812581722,1.375690392933393e-05,0.0013450883998302743,4.743185604638711e-05,0.0013450883998302743,4.743185604638711e-05,0.0,0.0,[],0.01,-60,-60,0.0
26,0.0004227563182939776,1.4733344187334296e-05,0.001383536851790268,4.882201290001831e-05,0.001383536851790268,4.882201290001831e-05,0.0,0.0,[],0.01,-60,-60,0.0
27,0.00045117909648979555,1.5737014064143295e-05,0.0014211389097908977,5.0183493840449955e-05,0.0014211389097908977,5.0183493840449955e-05,0.0,0.0,[],0.01,-60,-60,0.0
28,0.00048033714134362534,1.6767350193731544e-05,0.001457902242691489,5.151680647941248e-05,0.001457902242691489,5.151680647941248e-05,0.0,0.0,[],0.01,-60,-60,0.0
29,0.0005102136664208957,1.782391202823419e-05,0.0014938262538635172,5.2828091725132253e-05,0.0014938262538635172,5.2828091725132253e-05,0.0,0.0,[],0.01,-60,-60,0.0
30,0.0005407788509910462,1.890461062430404e-05,0.0015282592285075225,5.403492980349256e-05,0.0015282592285075225,5.403492980349256e-05,0.0,0.0,[],0.01,-60,-60,0.0
31,0.00057201756266295,2.0008948888516896e-05,0.0015619355835951865,5.5216913210642815e-05,0.0015619355835951865,5.5216913210642815e-05,0.0,0.0,[],0.01,-60,-60,0.0
32,0.0006039149851858385,2.1136439311248975e-05,0.001594871126144426,5.637452113660402e-05,0.001594871126144426,5.637452113660402e-05,0.0,0.0,[],0.01,-60,-60,0.0
33,0.0006364566337288127,2.2286604521468687e-05,0.0016270824271487072,5.7508260510985565e-05,0.0016270824271487072,5.7508260510985565e-05,0.0,0.0,[],0.01,-60,-60,0.0
34,0.0006696283440396658,2.3458976725123647e-05,0.0016585855155426543,5.861861018274794e-05,0.0016585855155426543,5.861861018274794e-05,0.0,0.0,[],0.01,-60,-60,0.0
35,0.0007034164870128737,2.4653090556512324e-05,0.0016894071486603934,5.970569156943384e-05,0.0016894071486603934,5.970569156943384e-05,0.0,0.0,[],0.01,-60,-60,0.0
36,0.0007378075022279521,2.5868498566978812e-05,0.0017195507607539184,6.07704005233245e-05,0.0017195507607539184,6.07704005233245e-05,0.0,0.0,[],0.01,-60,-60,0.0
37,0.0007727883942061456,2.710475421736191e-05,0.001749044598909677,6.181278251915501e-05,0.001749044598909677,6.181278251915501e-05,0.0,0.0,[],0.01,-60,-60,0.0
38,0.000808346194935439,2.836142795558771e-05,0.0017778900364646688,6.283368691128999e-05,0.0017778900364646688,6.283368691128999e-05,0.0,0.0,[],0.01,-60,-60,0.0
39,0.0008444682140907393,2.9638098835675914e-05,0.0018061009577650111,6.383354400441021e-05,0.0018061009577650111,6.383354400441021e-05,0.0,0.0,[],0.01,-60,-60,0.0
40,0.000881142038633698,3.093435487244278e-05,0.0018336912271479378,6.481280183834315e-05,0.0018336912271479378,6.481280183834315e-05,0.0,0.0,[],0.01,-60,-60,0.0
41,0.0009183602144184991,3.22499456387959e-05,0.0018609087892400566,6.577953831765626e-05,0.0018609087892400566,6.577953831765626e-05,0.0,0.0,[],0.01,-60,-60,0.0
42,0.0009561107636545788,3.358447288519528e-05,0.001887527461803984,6.672636231996876e-05,0.001887527461803984,6.672636231996876e-05,0.0,0.0,[],0.01,-60,-60,0.0
43,0.0009943819710315441,3.493754584155794e-05,0.001913560368848266,6.765364781813332e-05,0.001913560368848266,6.765364781813332e-05,0.0,0.0,[],0.01,-60,-60,0.0
44,0.0010331623884121657,3.630878253147784e-05,0.0019390208690310828,6.856183449599484e-05,0.0019390208690310828,6.856183449599484e-05,0.0,0.0,[],0.01,-60,-60,0.0
45,0.0010724408177702574,3.769780886500484e-05,0.0019639214679045836,6.945131667634996e-05,0.0019639214679045836,6.945131667634996e-05,0.0,0.0,[],0.01,-60,-60,0.0
46,0.0011122062932190605,3.9104257965618664e-05,0.0019882737724401522,7.032245503069134e-05,0.0019882737724401522,7.032245503069134e-05,0.0,0.0,[],0.01,-60,-60,0.0
47,0.0011524480580192178,4.0527785928361474e-05,0.00201208824000787,7.11763981371405e-05,0.00201208824000787,7.11763981371405e-05,0.0,0.0,[],0.01,-60,-60,0.0
48,0.001193155632936396,4.196804064008574e-05,0.0020353787458589068,7.201273558621324e-05,0.0020353787458589068,7.201273558621324e-05,0.0,0.0,[],0.01,-60,-60,0.0
49,0.0012343231572231165,4.342447193266707e-05,0.002058376214336022,7.282156462906642e-05,0.002058376214336022,7.282156462906642e-05,0.0,0.0,[],0.01,0.9833334,-60,0.0
50,0.0012759405099859581,4.489674596015902e-05,0.002080867638142081,7.361370137459744e-05,0.002080867638142081,7.361370137459744e-05,0.0,0.0,[],0.01,0.9833334,-60,0.0
51,0.0013179978079278956,4.6384535629613303e-05,0.002102864897096879,7.438948347271435e-05,0.002102864897096879,7.438948347271435e-05,0.0,0.0,[],0.01,0.9833334,-60,0.0
52,0.0013638031003574728,4.800482046903198e-05,0.0022902646214788547,8.101424197093365e-05,0.0022902646214788547,8.101424197093365e-05,0.0,0.0,[],0.036094873731420424,0.9833334,1.0599461,0.0
53,0.001413254778235569,4.97542973482723e-05,0.0024725838939048117,8.747384396201596e-05,0.0024725838939048117,8.747384396201596e-05,0.0,0.0,[],0.03609487,0.9833334,1.0599461,0.0
54,0.0014662526551182968,5.163015659263692e-05,0.002649893844136386,9.379296221823097e-05,0.002649893844136386,9.379296221823097e-05,0.0,0.0,[],0.036094856,0.9833334,1.0599461,0.0
55,0.0015227014497213535,5.3629595375923595e-05,0.002822439730152837,9.997193916433389e-05,0.002822439730152837,9.997193916433389e-05,0.0,0.0,[],0.03609482,0.9833334,1.0599461,0.0
56,0.001582493648711534,5.5748158474671064e-05,0.002989609949509031,0.00010592815493737362,0.002989609949509031,0.00010592815493737362,0.0,0.0,[],0.036094755,0.9833334,1.0599461,0.0
57,0.0016455357429367727,5.7982916206356085e-05,0.003152104711261927,0.0001117378865842511,0.003152104711261927,0.0001117378865842511,0.0,0.0,[],0.036094654,0.9833334,1.0599461,0.0
58,0.0017117149419573255,6.0332052582907623e-05,0.0033089599510276457,0.00011745681882757708,0.0033089599510276457,0.00011745681882757708,0.0,0.0,[],0.036094513,0.9833334,1.0599461,0.0
59,0.001780940679891501,6.279255222921164e-05,0.0034612868967087707,0.00012302498231520076,0.0034612868967087707,0.00012302498231520076,0.0,0.0,[],0.03609432,0.9833334,1.0599461,0.0
60,0.0018531303530835432,6.536193046940751e-05,0.0036094836596021196,0.0001284689120097937,0.0036094836596021196,0.0001284689120097937,0.0,0.0,[],0.036094066,0.9833334,1.0599461,0.0
61,0.0019282035904325315,6.803775615139783e-05,0.0037536618674494093,0.0001337912840995159,0.0037536618674494093,0.0001337912840995159,0.0,0.0,[],0.036093745,0.9833334,1.0599461,0.0
62,0.00200609735071339,7.081908027203098e-05,0.003894688014042913,0.0001390662060316572,0.003894688014042913,0.0001390662060316572,0.0,0.0,[],0.03609335,0.9833334,1.0599461,0.0
63,0.0020867446258489514,7.370346222046463e-05,0.004032363756778068,0.00014421909742168282,0.004032363756778068,0.00014421909742168282,0.0,0.0,[],0.03609287,0.9833334,1.0599461,0.0
64,0.0021700892332228256,7.668843749343066e-05,0.0041672303686937084,0.00014924876364830197,0.0041672303686937084,0.00014924876364830197,0.0,0.0,[],0.0360923,0.9833334,1.0599461,0.0
