sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,-3.526369691826403e-06,-5.505331500899046e-07,-0.00017631848459132016,-2.7526657504495233e-05,-0.00017631848459132016,-2.7526657504495233e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
1,-1.0506674298085273e-05,-1.6405966016463936e-06,-0.00034901523031294346,-5.4503172577824444e-05,-0.00034901523031294346,-5.4503172577824444e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
2,-2.087541128275916e-05,-3.2590865521342494e-06,-0.0005184368492336944,-8.092449752439279e-05,-0.0005184368492336944,-8.092449752439279e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
3,-3.456148988334462e-05,-5.395400003180839e-06,-0.000684303930029273,-0.00010681567255232949,-0.000684303930029273,-0.00010681567255232949,0.0,0.0,[],0.01,-60,-60,0.13442126
4,-5.149530858034268e-05,-8.039146632654592e-06,-0.000846690934849903,-0.00013218733147368766,-0.000846690934849903,-0.00013218733147368766,0.0,0.0,[],0.01,-60,-60,0.13442126
5,-7.16616673162207e-05,-1.1178545792063231e-05,-0.001008317936793901,-0.000156969957970432,-0.001008317936793901,-0.000156969957970432,0.0,0.0,[],0.01,-60,-60,0.13442126
6,-9.495688689639792e-05,-1.4800519602431449e-05,-0.0011647609790088609,-0.00018109869051841088,-0.0011647609790088609,-0.00018109869051841088,0.0,0.0,[],0.01,-60,-60,0.13442126
7,-0.0001213153512799181,-1.889538594696205e-05,-0.0013179232191760093,-0.00020474331722653005,-0.0013179232191760093,-0.00020474331722653005,0.0,0.0,[],0.01,-60,-60,0.13442126
8,-0.00015067273372551426,-2.345365846849745e-05,-0.001467869122279808,-0.00022791362607677002,-0.001467869122279808,-0.00022791362607677002,0.0,0.0,[],0.01,-60,-60,0.13442126
9,-0.00018295167217729613,-2.846128467353992e-05,-0.0016139469225890934,-0.0002503813102521235,-0.0016139469225890934,-0.0002503813102521235,0.0,0.0,[],0.01,-60,-60,0.13442126
