sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,-3.526369109749794e-06,-5.505331500899046e-07,-0.0001763184554874897,-2.7526657504495233e-05,-0.0001763184554874897,-2.7526657504495233e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
1,-1.0506673133932055e-05,-1.6405965288868174e-06,-0.000349015201209113,-5.4503168939845636e-05,-0.000349015201209113,-5.4503168939845636e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
2,-2.0875407208222897e-05,-3.259086333855521e-06,-0.0005184367037145421,-8.092449024843518e-05,-0.0005184367037145421,-8.092449024843518e-05,0.0,0.0,[],0.01,-60,-60,0.13442126
3,-3.4561483189463616e-05,-5.395399639382959e-06,-0.000684303799062036,-0.00010681566527637187,-0.000684303799062036,-0.00010681566527637187,0.0,0.0,[],0.01,-60,-60,0.13442126
4,-5.149529955815524e-05,-8.0391463052365e-06,-0.0008466908184345812,-0.00013218733329267707,-0.0008466908184345812,-0.00013218733329267707,0.0,0.0,[],0.01,-60,-60,0.13442126
5,-7.166165596572682e-05,-1.1178545391885564e-05,-0.0010083178203785792,-0.0001569699543324532,-0.0010083178203785792,-0.0001569699543324532,0.0,0.0,[],0.01,-60,-60,0.13442126
6,-9.495687321759761e-05,-1.4800519165873995e-05,-0.001164760862593539,-0.00018109868869942147,-0.001164760862593539,-0.00018109868869942147,0.0,0.0,[],0.01,-60,-60,0.13442126
7,-0.00012131533498177306,-1.8895385364885444e-05,-0.0013179230882087722,-0.00020474330995057244,-0.0013179230882087722,-0.00020474330995057244,0.0,0.0,[],0.01,-60,-60,0.13442126
8,-0.00015067271422594786,-2.345365777728148e-05,-0.0014678689622087404,-0.0002279136206198018,-0.0014678689622087404,-0.0002279136206198018,0.0,0.0,[],0.01,-60,-60,0.13442126
9,-0.00018295236950507387,-2.8461271103878974e-05,-0.001613982763956301,-0.00025038066632987466,-0.001613982763956301,-0.00025038066632987466,0.0,0.0,[],0.01,-60,-60,0.13442126
10,-0.0002180953841889277,-3.39091459318297e-05,-0.0017571507341926917,-0.00027239374139753636,-0.0017571507341926917,-0.00027239374139753636,0.0,0.0,[],0.01,-60,-60,0.13442126
11,-0.00025604172376915814,-3.97884505946422e-05,-0.0018973169790115207,-0.00029396523314062506,-0.0018973169790115207,-0.00029396523314062506,0.0,0.0,[],0.01,-60,-60,0.13442126
12,-0.0002966693780035712,-4.61109561365447e-05,-0.002031382711720653,-0.00031612527709512506,-0.002031382711720653,-0.00031612527709512506,0.0,0.0,[],0.01,-60,-60,0.13442126
13,-0.00033992126176599416,-5.2867774647893385e-05,-0.0021625941881211475,-0.00033784092556743417,-0.0021625941881211475,-0.00033784092556743417,0.0,0.0,[],0.01,-60,-60,0.13442126
14,-0.0003857254481408745,-6.004814127663849e-05,-0.0022902093187440187,-0.00035901833143725526,-0.0022902093187440187,-0.00035901833143725526,0.0,0.0,[],0.01,-60,-60,0.13442126
