sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,9.027370833791793e-07,-6.002624286338687e-07,4.513685416895896e-05,-3.0013121431693435e-05,4.513685416895896e-05,-3.0013121431693435e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
1,2.689389875740744e-06,-1.788783192750998e-06,8.933263961807825e-05,-5.942603820585646e-05,8.933263961807825e-05,-5.942603820585646e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
2,5.341532378224656e-06,-3.5537981966626834e-06,0.0001326071251241956,-8.825075019558426e-05,0.0001326071251241956,-8.825075019558426e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
3,8.841120506986045e-06,-5.883778576389887e-06,0.00017497940643806942,-0.00011649901898636017,0.00017497940643806942,-0.00011649901898636017,0.0,0.0,[],0.01,-60,-60,0.14140469
4,1.3210297984187493e-05,-8.7675524991937e-06,0.00021845887386007234,-0.0001441886961401906,0.00021845887386007234,-0.0001441886961401906,0.0,0.0,[],0.01,-60,-60,0.14140469
5,1.8430929922033103e-05,-1.2194045411888512e-05,0.0002610315968922805,-0.0001713246456347406,0.0002610315968922805,-0.0001713246456347406,0.0,0.0,[],0.01,-60,-60,0.14140469
6,2.444859281240497e-05,-1.6153485339600594e-05,0.0003008831445185933,-0.00019797199638560414,0.0003008831445185933,-0.00019797199638560414,0.0,0.0,[],0.01,-60,-60,0.14140469
7,3.124665476207156e-05,-2.0635214386857115e-05,0.0003399030974833295,-0.0002240864523628261,0.0003399030974833295,-0.0002240864523628261,0.0,0.0,[],0.01,-60,-60,0.14140469
8,3.879273615893908e-05,-2.5625742455304135e-05,0.00037730406984337606,-0.000249526403422351,0.00037730406984337606,-0.000249526403422351,0.0,0.0,[],0.01,-60,-60,0.14140469
9,4.7070192595128906e-05,-3.111489317234373e-05,0.00041387282180949114,-0.00027445753585197963,0.00041387282180949114,-0.00027445753585197963,0.0,0.0,[],0.01,-60,-60,0.14140469
10,5.606376522337087e-05,-3.709269589307951e-05,0.0004496786314120982,-0.00029889013603678904,0.0004496786314120982,-0.00029889013603678904,0.0,0.0,[],0.01,-60,-60,0.14140469
11,6.577129774086643e-05,-4.354642358521233e-05,0.00048537662587477826,-0.0003226863846066408,0.00048537662587477826,-0.0003226863846066408,0.0,0.0,[],0.01,-60,-60,0.14140469
12,7.617789604410064e-05,-5.046655951446156e-05,0.0005203299151617102,-0.00034600679646246135,0.0005203299151617102,-0.00034600679646246135,0.0,0.0,[],0.01,-60,-60,0.14140469
13,8.7268975621555e-05,-5.784377783129458e-05,0.0005545539788727183,-0.00036886091584165115,0.0005545539788727183,-0.00036886091584165115,0.0,0.0,[],0.01,-60,-60,0.14140469
14,9.903025558742229e-05,-6.566893905983308e-05,0.0005880639982933644,-0.00039125806142692454,0.0005880639982933644,-0.00039125806142692454,0.0,0.0,[],0.01,-60,-60,0.14140469
15,0.00011144775584398303,-7.393308616883589e-05,0.0006208750128280371,-0.0004132073554501403,0.0006208750128280371,-0.0004132073554501403,0.0,0.0,[],0.01,-60,-60,0.14140469
16,0.00012450778485799673,-8.26274415885564e-05,0.0006530014507006854,-0.00043471777098602615,0.0006530014507006854,-0.00043471777098602615,0.0,0.0,[],0.01,-60,-60,0.14140469
17,0.0001381936502730241,-9.17433886206709e-05,0.0006842932707513683,-0.00045579735160572454,0.0006842932707513683,-0.00045579735160572454,0.0,0.0,[],0.01,-60,-60,0.14140469
18,0.00015249229545588605,-0.00010127249719516841,0.0007149322591430973,-0.0004764554287248757,0.0007149322591430973,-0.0004764554287248757,0.0,0.0,[],0.01,-60,-60,0.14140469
19,0.00016739048984163674,-0.00011120652041427094,0.0007449097192875342,-0.0004967011609551264,0.0007449097192875342,-0.0004967011609551264,0.0,0.0,[],0.01,-60,-60,0.14140469
