sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
3000.0,1000.0,1,3000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance
0,9.027357737068087e-07,-6.002625013934448e-07,4.5136788685340434e-05,-3.0013125069672242e-05,4.5136788685340434e-05,-3.0013125069672242e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
1,2.689387256396003e-06,-1.7887833382701502e-06,8.933257413445972e-05,-5.9426041843835264e-05,8.933257413445972e-05,-5.9426041843835264e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
2,5.341528449207545e-06,-3.5537985968403517e-06,0.00013260705964057706,-8.825076292851008e-05,0.00013260705964057706,-8.825076292851008e-05,0.0,0.0,[],0.01,-60,-60,0.14140469
3,8.84111475897953e-06,-5.8837792312260714e-06,0.00017497931548859924,-0.000116499031719286,0.00017497931548859924,-0.000116499031719286,0.0,0.0,[],0.01,-60,-60,0.14140469
4,1.3210290708229877e-05,-8.767553299549036e-06,0.0002184587974625174,-0.0001441887034161482,0.0002184587974625174,-0.0001441887034161482,0.0,0.0,[],0.01,-60,-60,0.14140469
5,1.8430921190883964e-05,-1.2194046212243849e-05,0.00026103152413270436,-0.0001713246456347406,0.00026103152413270436,-0.0001713246456347406,0.0,0.0,[],0.01,-60,-60,0.14140469
6,2.444858182570897e-05,-1.6153486139955934e-05,0.0003008830317412503,-0.00019797199638560414,0.0003008830317412503,-0.00019797199638560414,0.0,0.0,[],0.01,-60,-60,0.14140469
7,3.1246641010511664e-05,-2.063521529635182e-05,0.0003399029592401348,-0.0002240864578197943,0.0003399029592401348,-0.0002240864578197943,0.0,0.0,[],0.01,-60,-60,0.14140469
8,3.879271971527487e-05,-2.5625743473938202e-05,0.0003773039352381602,-0.0002495264088793192,0.0003773039352381602,-0.0002495264088793192,0.0,0.0,[],0.01,-60,-60,0.14140469
9,4.707017331384122e-05,-3.111489426373737e-05,0.00041387267992831767,-0.00027445753948995844,0.00041387267992831767,-0.00027445753948995844,0.0,0.0,[],0.01,-60,-60,0.14140469
10,5.606374339549802e-05,-3.709269702085294e-05,0.00044967850408283994,-0.00029889013785577845,0.00044967850408283994,-0.00029889013785577845,0.0,0.0,[],0.01,-60,-60,0.14140469
