sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_active,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,1,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
0,3.994812504970469e-07,1.3344980516194483e-08,1.9974062524852343e-05,6.672490258097241e-07,1.9974062524852343e-05,6.672490258097241e-07,0.0,0.0,[],0.01,-60,-60,0.15843412,-17.0,-10.0
1,1.190060162379325e-06,3.976036015596041e-08,3.952894559411391e-05,1.3207689819882962e-06,3.953693521907553e-05,1.321035881574062e-06,7.989624961624031e-09,2.6689958576575634e-10,[],0.01,-60,-60,0.15843412,-17.0,-10.0
2,2.3633720217119957e-06,7.897206373119748e-08,5.866559296663354e-05,1.9605851787618533e-06,5.869738379260525e-05,1.9616472854977474e-06,3.1790825971711456e-08,1.0621067358940195e-09,[],0.01,-60,-60,0.15843412,-17.0,-10.0
3,3.911074553748506e-06,1.3070621352195834e-07,7.73851266018255e-05,2.5867074895380426e-06,7.746418486931361e-05,2.5893490374073735e-06,7.905826748810796e-08,2.641547869330907e-09,[],0.01,-60,-60,0.15843412,-17.0,-10.0
4,5.824851005407084e-06,1.946898675059261e-07,9.568882258292888e-05,3.1991826991983885e-06,9.58461023401469e-05,3.2044383715401636e-06,1.5727975721802068e-07,5.255672341775153e-09,[],0.01,-60,-60,0.15843412,-17.0,-10.0
5,8.096408233093656e-06,2.706504418875655e-07,0.00011357786138432857,3.7980287190819695e-06,0.00011385163816157728,3.807178188708349e-06,2.737767772487132e-07,9.149469626379414e-09,[],0.01,-60,-60,0.15843412,-17.0,-10.0
6,1.071748955201457e-05,3.583166034176744e-07,0.00013105406594604574,4.383308076505443e-06,0.00013148977086530067,4.397870554839756e-06,4.3570491925493116e-07,1.4562478334312345e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
7,1.3679865850697583e-05,4.5741745819338765e-07,0.00014811881493415058,4.955042738785664e-06,0.00014876886962156277,4.976771549536352e-06,6.500546874121937e-07,2.1728810750687444e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
8,1.6976571393350073e-05,5.676794006320707e-07,0.00016483527713262447,5.513097121934152e-06,0.00016575892914261203,5.543974282318231e-06,9.236520099875634e-07,3.0877160384079616e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
9,2.059942503297663e-05,6.888338649418958e-07,0.00018114268198132777,6.057723215491251e-06,0.00018240586541651282,6.099953964167071e-06,1.2631834351850557e-06,4.2230748675819996e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
10,2.454026337478155e-05,8.206145699035661e-07,0.000197041917090246,6.589035248083519e-06,0.0001987170890060952,6.645042674335855e-06,1.6751719158492051e-06,5.600742625233579e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
11,2.879098893505017e-05,9.627552550456332e-07,0.000212536278013431,7.107034257103351e-06,0.00021470225510711316,7.1794539735492435e-06,2.1659770936821587e-06,7.241971644589285e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
12,3.33435476561661e-05,1.114991117219799e-06,0.00022762793605579645,7.611793108708298e-06,0.00023036973288981244,7.703467929331964e-06,2.741796834015986e-06,9.167482062366616e-08,[],0.01,-60,-60,0.15843412,-17.0,-10.0
13,3.818992688980672e-05,1.2770586527893758e-06,0.00024231896168203093,8.103376778478832e-06,0.00024572762958996464,8.217351421535568e-06,3.4086679079337046e-06,1.1397464305673566e-07,[],0.01,-60,-60,0.15843412,-17.0,-10.0
14,4.332755092878671e-05,1.4488544641438895e-06,0.00025688120194899966,8.589790567725686e-06,0.00026105366850970313,8.729306387067481e-06,4.1724665607034694e-06,1.3951581934179558e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
15,4.874839561967548e-05,1.6301146771696696e-06,0.00027104223454443854,9.063010651289005e-06,0.00027608125219558133,9.23150355447433e-06,5.039017651142785e-06,1.684929031853244e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
16,5.444449174252242e-05,1.8205771354190549e-06,0.00028480480614234693,9.523122912469262e-06,0.00029081879165460123,9.724218102746818e-06,6.013985512254294e-06,2.0109519027755596e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
17,6.040792215504354e-05,2.019981216364042e-06,0.000298171520626056,9.970204047249354e-06,0.00030527439594152384,1.020771077264726e-05,7.102875315467827e-06,2.3750672539790685e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
18,6.663082987802938e-05,2.2280679885683386e-06,0.0003111453861492919,1.0404338610214836e-05,0.00031945641967467964,1.068224494815695e-05,8.311033525387757e-06,2.7790633794211317e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
19,7.310541493939838e-05,2.444580437355737e-06,0.0003237292530684499,1.0825622439369909e-05,0.000333372903696727,1.1148090152346413e-05,9.6436506282771e-06,3.224677129765041e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
20,7.982393064526861e-05,2.6692636586461706e-06,0.0003359257852935116,1.1234161064521686e-05,0.00034703154415183235,1.160552037049456e-05,1.1105758858320769e-05,3.713593059728737e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
21,8.677869953249485e-05,2.9018644815154152e-06,0.00034773844436131185,1.1630041143462222e-05,0.0003604406820159056,1.2054785713644378e-05,1.2702237654593773e-05,4.2474457018215617e-07,[],0.01,-60,-60,0.15843412,-17.0,-10.0
22,9.396201248751625e-05,3.1421127456782167e-06,0.00035916564775106963,1.201241320814006e-05,0.00037360345959314145,1.2495195051087649e-05,1.4437811842071824e-05,4.827818429475883e-07,[],0.01,-60,-60,0.15843412,-17.0,-10.0
23,0.00010136278067808038,3.390432775887687e-06,0.0003700384095282061,1.2416001510473507e-05,0.00038635546115983743,1.296162562880454e-05,1.631705163163133e-05,5.45624118331034e-07,[],0.01,-60,-60,0.15843412,-17.0,-10.0
24,0.00010897360054446638,3.6465641269672897e-06,0.00038054099331930047,1.280656755398013e-05,0.00039888530136522604,1.3420000357200479e-05,1.8344308045925573e-05,6.134328032203484e-07,[],0.01,-60,-60,0.15843412,-17.0,-10.0
25,0.00011678713779406993,3.910248655898952e-06,0.0003906768624801771,1.3184226446583125e-05,0.000411200641792675,1.3870590549913686e-05,2.0523779312497936e-05,6.863641033305612e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
26,0.00012479612469110894,4.181230107434542e-06,0.0004004493448519497,1.3549072576779508e-05,0.00042330886662966805,1.4313641685248513e-05,2.2859521777718328e-05,7.645691084690043e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
27,0.000132993087044504,4.459255542570985e-06,0.00040984811766975326,1.3901271756822098e-05,0.00043520356211956823,1.4749465492513991e-05,2.5355444449814968e-05,8.481937356918934e-07,[],0.01,-60,-60,0.15843417,-17.0,-10.0
28,0.0001413709106593686,4.744073342777823e-06,0.0004188911807432305,1.42408900103419e-05,0.0004469064861041261,1.5178268853333066e-05,2.801530536089558e-05,9.373788429911656e-07,[],0.01,-60,-60,0.1584346,-17.0,-10.0
29,0.0001499225512809588,5.0354345856079576e-06,0.00042758203107950976,1.4568062141506744e-05,0.0004584247535603936,1.560032248448806e-05,3.084272248088382e-05,1.032260342981317e-06,[],0.01,-60,-60,0.1584346,-17.0,-10.0
